node,parent,time
1,12,2625.730030
2,16,2598.107404
3,16,2367.346746
4,112,1849.047077
5,126,1851.606489
6,12,2519.958786
7,18,2501.639296
8,17,2084.197731
9,34,2574.973152
10,24,2452.056239
11,103,2428.044830
12,18,2137.470877
13,134,1580.205050
14,34,2143.089038
15,103,2268.030783
16,17,1855.408273
17,35,1753.095028
18,35,1796.330144
19,26,1948.496806
20,27,2084.798262
21,23,2236.986236
22,23,2232.829630
23,28,2059.644757
24,27,1921.439617
25,26,1807.277292
26,37,1775.277292
27,36,1889.439617
28,33,2027.644757
29,30,2212.387884
30,31,2112.123234
31,33,2055.820481
32,31,2091.597569
33,36,1868.817807
34,38,1759.874999
35,154,1169.776076
36,37,1576.318235
37,39,1474.004990
38,35,1452.874999
39,154,941.703384
40,45,2009.211188
41,43,1592.005436
42,39,1429.147740
43,42,1524.588821
44,43,1682.588821
45,44,1887.588821
46,42,1570.597378
47,44,1745.588821
48,45,1950.588821
49,41,2063.993784
50,51,1945.694409
51,46,1740.694409
52,46,1633.597378
53,60,2329.613839
54,51,1803.694409
55,47,1986.215087
56,52,2017.843392
57,58,2465.911084
58,60,2307.911084
59,105,1862.775596
60,164,1655.459554
61,161,799.745133
62,61,1386.932497
63,61,1287.028418
64,62,1699.783899
65,161,942.336241
66,65,1012.997405
67,64,1893.765857
68,64,1924.394674
69,63,1602.947712
70,66,1500.280690
71,68,1977.167773
72,62,1867.550849
73,74,1744.021837
74,66,1586.021837
75,70,1617.126742
76,74,1748.763964
77,72,1906.550849
78,68,2044.935123
79,76,1932.399473
80,75,1778.139164
81,70,1641.730328
82,78,2075.935123
83,77,2086.919915
84,72,2025.351356
85,84,2135.660013
86,75,1953.901148
87,189,1749.948073
88,65,1387.813514
89,81,1926.742608
90,176,2015.420445
91,86,2351.646041
92,86,2372.568080
93,81,2179.787016
94,196,2156.513333
95,190,1846.869447
96,76,2477.879867
97,80,2507.255067
98,88,2082.632195
99,88,2004.544411
100,196,2297.541675
101,93,2572.349113
102,93,2593.619108
103,28,2167.766133
104,41,1884.505009
105,63,1675.519088
106,132,1881.097199
107,132,1855.393457
108,117,1648.980481
109,131,1980.410921
