node,parent,time
1,12,2574.899049
2,16,2547.276423
3,16,2316.515765
4,112,1795.468202
5,126,1798.068606
6,12,2469.127805
7,18,2450.808315
8,17,2033.366750
9,34,1957.944326
10,24,2376.354600
11,103,2352.343190
12,18,2086.639896
13,134,1526.667168
14,34,1526.060212
15,103,2192.329143
16,17,1804.577292
17,35,1702.264047
18,35,1745.499163
19,26,1872.795166
20,27,2009.096622
21,23,2161.284596
22,23,2157.127990
23,28,1983.943117
24,27,1845.737977
25,26,1731.575653
26,37,1699.575653
27,36,1813.737977
28,33,1951.943117
29,31,2146.058926
30,33,1970.135941
31,30,2026.438694
32,30,2062.059822
33,36,1793.116168
34,38,1142.846172
35,38,1118.945095
36,37,1500.616595
37,39,1398.303350
38,154,835.846172
39,154,866.001744
40,41,1941.925694
41,43,1516.303796
42,39,1353.446100
43,42,1448.887181
44,43,1606.887181
45,44,1811.887181
46,42,1494.895738
47,44,1669.887181
48,45,1874.887181
49,45,1942.075506
50,51,1869.992769
51,46,1664.992769
52,46,1557.895738
53,60,1616.061031
54,51,1727.992769
55,47,1910.513448
56,52,1942.141753
57,58,1752.358277
58,60,1594.358277
59,105,2061.237714
60,164,941.906746
61,161,998.207251
62,61,1585.394615
63,61,1485.490536
64,62,1898.246017
65,164,1142.089516
66,65,1212.750679
67,64,2092.227975
68,64,2122.856792
69,63,1801.409830
70,66,1700.033964
71,68,2175.629891
72,62,2066.012967
73,74,1943.775111
74,66,1785.775111
75,70,1816.880017
76,74,1948.517239
77,72,2105.012967
78,68,2243.397241
79,76,2132.152747
80,75,1977.892439
81,70,1841.483602
82,78,2274.397241
83,77,2285.382033
84,72,2223.813473
85,84,2334.122131
86,75,2153.654422
87,189,1549.680969
88,65,1587.566788
89,81,2126.495882
90,176,2044.804857
91,86,2551.399315
92,86,2572.321354
93,81,2379.540291
94,196,1753.379811
95,190,1821.137892
96,76,2677.633142
97,80,2707.008342
98,88,2282.385469
99,88,2204.297686
100,196,1894.408153
101,93,2772.102388
102,93,2793.372382
103,28,2092.064493
104,41,1808.803369
105,63,1873.981205
106,132,1827.518324
107,132,1801.814582
108,117,1595.401606
109,131,1926.832046
110,131,1858.407347
111,112,1683.580134
112,117,1652.580134
113,122,1456.916011
114,122,1433.813308
115,116,1578.169561
116,134,1546.169561
117,124,1288.401606
118,142,1719.194190
119,142,1651.845551
120,127,1403.800872
121,130,1170.762860
122,123,1125.813308
123,141,1034.747398
124,129,1061.251875
125,124,1243.251875
126,127,1293.005244
127,137,1262.005244
128,133,1233.016880
129,141,1022.251875
130,123,1073.747398
131,130,1105.747398
132,129,1054.251875
133,209,1201.016880
134,137,1230.609741
135,136,1172.662425
136,145,1116.359672
137,145,1085.265322
138,209,1048.711971
139,140,1346.426720
140,148,1276.212761
141,146,679.934771
142,147,966.641202
143,144,1140.810144
144,157,1070.596186
145,150,651.084484
146,152,372.934771
147,148,659.641202
148,151,564.200121
149,152,252.000000
150,155,529.462118
151,146,501.200121
152,159,189.000000
153,151,864.200121
154,160,519.011831
155,160,403.462118
156,-1,0.000000
157,149,454.089089
158,157,517.089089
159,156,63.000000
160,162,340.462118
161,155,529.462118
162,159,126.000000
163,158,580.089089
164,161,685.436475
165,166,1218.420531
166,158,1147.759368
167,162,453.653781
168,167,555.967025
169,168,954.213180
170,171,1159.358890
171,168,1088.697726
172,210,1129.605943
173,172,1164.491470
174,167,760.653781
175,180,975.484526
176,210,1205.568895
177,178,1144.912723
178,181,963.912723
179,175,1067.070551
180,174,858.638473
181,174,924.912723
182,185,1139.548231
183,172,1284.953939
184,185,1136.912723
185,181,955.912723
186,180,889.638473
187,169,1311.437200
188,189,1310.189647
189,184,1247.189647
190,184,1355.739138
191,186,1210.817551
192,193,1629.583747
193,175,1559.369789
194,195,1294.190034
195,186,1191.876790
196,178,1606.352603
197,191,1629.484483
198,191,1517.817551
199,179,1903.351006
200,179,1879.831894
201,197,1748.484483
202,197,1779.484483
203,195,1507.796083
204,203,1610.109328
205,200,2042.524856
206,201,1897.484483
207,201,1929.484483
208,136,1323.690325
209,150,741.711971
210,149,688.577599
211,109,2094.092322
212,109,2075.549900
213,231,2228.322314
214,215,2867.126837
215,229,2796.465674
216,119,2004.506862
217,119,1978.637534
218,313,2278.001096
219,233,2361.139328
220,118,1890.366618
221,118,1870.098133
222,313,1968.831406
223,224,2737.488238
224,247,2666.827075
225,232,1793.224179
226,229,2103.711339
227,228,2193.198767
228,237,2102.132857
229,238,1958.863143
230,240,1815.827967
231,239,1682.428552
232,239,1651.428552
233,240,1787.445159
234,238,1948.242742
235,237,2090.121283
236,243,2097.504129
237,242,1928.913343
238,241,1764.435778
239,139,1619.428552
240,241,1658.627458
241,140,1602.324705
242,139,1579.220620
243,242,1776.790861
244,247,2536.632636
245,246,2466.616897
246,314,1879.309481
247,246,1981.622726
248,252,2516.835875
249,251,2446.820136
250,144,1397.143273
251,314,1859.512720
252,251,1961.825965
253,254,1881.765639
254,255,1723.765639
255,250,1518.765639
256,257,1882.071399
257,250,1724.071399
258,143,1555.177132
259,147,1439.438612
260,259,1577.152083
261,255,1759.391905
262,257,1894.168430
263,267,1923.186120
264,259,1789.131334
265,266,1611.089089
266,163,1548.089089
267,266,1753.089089
268,267,1911.089089
269,163,1454.091378
270,315,2547.878084
271,269,2484.089921
272,165,1910.973056
273,165,2013.070768
274,166,1693.359954
275,279,2567.047141
276,284,2498.837665
277,171,1414.043696
278,277,1448.929223
279,283,1913.044083
280,279,2015.357328
281,277,1497.673834
282,278,1586.813232
283,282,1767.813232
284,283,1925.813232
285,286,1929.967222
286,282,1771.967222
287,278,1606.729730
288,170,1449.493341
289,288,1623.142413
290,287,1790.365239
291,286,1932.979644
292,170,1472.958953
293,292,1515.678972
294,288,1554.968457
295,292,1590.958953
296,294,1731.988230
297,291,2581.059886
298,291,2531.185295
299,294,2024.099569
300,296,2120.842958
301,193,1830.990848
302,301,1861.990848
303,293,1969.738440
304,287,2699.396651
305,299,2653.055052
306,301,1980.990848
307,302,2011.990848
308,293,2229.789608
309,296,2308.742077
310,299,2776.636611
311,302,2129.990848
312,306,2161.990848
313,232,1751.693201
314,143,1567.013148
315,269,1641.347886
316,49,2194.075506
317,49,2206.168293
318,268,2654.299692
