node,parent,time
1,16,2682.744689
2,17,2655.703900
3,17,2405.457143
4,116,1696.985199
5,116,1709.450376
6,12,2572.800246
7,12,2554.490865
8,34,2122.072847
9,34,2045.929170
10,24,2497.795741
11,19,2470.988415
12,25,2190.312338
13,125,1504.808280
14,136,1535.437074
15,19,2335.590748
16,35,1919.278252
17,35,1828.703296
18,25,1865.114589
19,26,1979.190692
20,27,2147.869065
21,22,2303.592495
22,30,2272.592495
23,28,2135.609315
24,26,1967.179118
25,38,1826.114589
26,38,1805.971178
27,37,1952.510420
28,36,2103.609315
29,30,2249.938472
30,33,2149.673823
31,33,2159.656724
32,31,2195.433811
33,36,1972.654050
34,145,1230.831016
35,145,1245.384344
36,37,1680.154477
37,39,1577.841233
38,154,1015.384055
39,154,1045.539626
40,44,2045.044681
41,42,1593.531831
42,155,1491.218586
43,42,1586.659667
44,41,1741.602759
45,44,1946.602759
46,153,1614.000000
47,43,1756.756698
48,43,1955.086051
49,48,2073.356926
50,47,1971.218816
51,46,1784.097031
52,39,1662.046723
53,150,1695.278358
54,46,1816.089089
55,47,1997.382965
56,51,2024.723297
57,52,1864.135812
58,150,1709.263965
59,105,2117.242955
60,164,984.232154
61,164,1054.212492
62,61,1641.399855
63,61,1541.495777
64,62,1954.251258
65,60,1291.232154
66,60,1329.036446
67,64,2148.233216
68,64,2178.862032
69,63,1857.415070
70,66,1816.319732
71,68,2231.635131
72,62,2122.018207
73,69,2002.645921
74,66,1902.060879
75,70,1933.165784
76,69,2021.674012
77,72,2161.018207
78,68,2299.402482
79,72,2192.018207
80,76,2052.674012
81,65,1953.703286
82,78,2330.402482
83,77,2341.387273
84,77,2289.835908
85,84,2400.144566
86,76,2242.211991
87,176,1574.453004
88,176,1637.258074
89,90,2146.098387
90,65,2043.785142
91,86,2639.956884
92,86,2660.878923
93,90,2441.615508
94,189,1839.315103
95,183,1901.694108
96,80,2756.896278
97,93,2771.095401
98,172,2327.731676
99,88,2253.988971
100,196,1994.744617
101,93,2834.177605
102,101,2866.177605
103,28,2243.730691
104,41,1886.031403
105,63,1929.986446
106,107,1770.152675
107,115,1739.152675
108,129,1599.441134
109,110,1832.415421
110,123,1761.754258
111,112,1620.145212
112,115,1589.145212
113,123,1417.463398
114,131,1417.738454
115,120,1471.145212
116,120,1443.574465
117,125,1300.526283
118,122,1681.315083
119,122,1613.550469
120,208,1283.262270
121,130,1112.684153
122,131,1126.106113
123,130,1054.668690
124,129,1088.803981
125,133,1103.404493
126,208,1267.306576
127,128,1237.582324
128,133,1064.397451
129,141,1049.803981
130,142,1015.668690
131,142,984.656476
132,141,1020.608259
133,138,1032.397451
134,136,1226.513260
135,138,1050.590275
136,135,1106.893028
137,135,1142.514156
138,209,873.570502
139,143,1316.471131
140,144,1246.697225
141,147,707.486877
142,147,683.384173
143,151,1009.471131
144,151,939.697225
145,209,765.432263
146,149,274.070929
147,146,376.384173
148,149,284.000000
149,152,126.000000
150,153,709.000000
151,148,347.000000
152,156,63.000000
153,155,646.000000
154,160,698.549713
155,161,583.000000
156,-1,0.000000
157,148,410.000000
158,159,347.000000
159,152,189.000000
160,161,520.000000
161,162,457.000000
162,159,252.000000
163,162,410.000000
