node,parent,time
1,-1,0.000000
2,1,10.000000
3,5,100.000000
4,2,30.000000
5,6,80.000000
6,7,70.000000
7,2,60.000000
8,7,70.000000
9,4,80.000000
10,6,110.000000
11,4,100.000000
12,10,130.000000
13,11,120.000000
14,9,130.000000
15,8,140.000000
16,9,150.000000
17,14,160.000000
18,8,170.000000
19,18,180.000000
20,14,190.000000
21,15,200.000000
22,11,210.000000
23,13,220.000000
24,16,230.000000
25,18,240.000000
26,13,250.000000
27,19,260.000000
28,19,270.000000
29,15,280.000000
30,21,290.000000
31,16,300.000000
32,20,310.000000
33,17,320.000000
34,21,330.000000
35,25,340.000000
36,17,350.000000
37,28,360.000000
38,20,370.000000
39,22,380.000000
40,24,390.000000
41,22,400.000000
42,23,410.000000
43,23,420.000000
44,27,430.000000
45,24,440.000000
46,25,450.000000
47,26,460.000000
48,32,470.000000
49,26,480.000000
50,27,490.000000
51,28,500.000000
52,30,510.000000
53,29,520.000000
54,29,530.000000
55,31,540.000000
56,30,550.000000
57,31,560.000000
58,32,570.000000
59,33,580.000000
60,33,590.000000
61,34,600.000000
62,34,610.000000
63,35,620.000000
64,35,630.000000
