node,parent,time
1,45,8185.492607
2,44,7988.422821
3,43,8018.890088
4,5,7962.292956
5,41,7802.214850
6,41,7767.485270
7,8,7723.157909
8,40,7623.157909
9,11,7593.315712
10,12,7478.673528
11,37,7398.059470
12,37,7337.252172
13,36,7430.763176
14,34,7375.254920
15,33,7314.827854
16,17,7252.941101
17,61,7111.519744
18,120,7236.706254
19,102,7209.726487
20,102,7379.738925
21,66,7395.725100
22,66,7267.171710
23,24,7401.511256
24,71,7274.035768
25,107,7519.818510
26,64,7652.155725
27,108,7718.759862
28,108,7863.964767
29,146,7822.078051
30,73,8039.767094
31,74,7985.735124
32,111,8370.737690
33,61,6939.827854
34,60,6903.555863
35,78,6964.335077
36,58,7011.686811
37,58,7079.861419
38,57,7073.395940
39,38,7223.395940
40,57,7306.930143
41,40,7406.930143
42,38,7373.395940
43,39,7489.149585
44,39,7523.395940
45,43,7589.149585
46,42,7709.736541
47,42,7699.356060
48,79,7788.876830
49,44,7780.786693
50,48,7888.876830
51,56,7969.656734
52,49,8030.786693
53,54,7823.865412
54,55,7723.865412
55,82,7623.865412
56,82,7545.392665
57,86,6701.744221
58,78,6564.473215
59,60,6382.568746
60,76,6282.568746
61,76,6239.381567
62,112,8071.565641
63,73,7581.034438
64,107,7315.815124
65,90,7016.332373
66,71,7042.171710
67,114,7053.601127
68,91,6852.292046
69,91,6660.573064
70,114,6563.910972
71,90,6542.171710
72,105,6639.939258
73,109,7301.525941
74,109,7157.710366
75,278,6187.312504
76,279,6087.312504
77,87,6181.053527
78,86,6229.063019
79,87,6922.130039
80,79,7072.130039
81,299,7194.641068
82,299,7297.905292
83,188,9365.045467
84,83,9590.045467
85,83,9815.045467
86,279,6029.063019
87,276,5981.053527
88,106,6487.585370
89,105,6440.778821
90,104,6407.542590
91,104,6391.314824
92,103,6302.948632
93,118,6319.119321
94,120,6305.823089
95,101,6477.124228
96,123,6528.652646
97,124,6589.710101
98,123,6463.958352
99,126,6244.369424
100,101,6296.335573
101,121,6096.335573
102,103,6204.738925
103,152,5954.738925
104,150,6091.314824
105,113,6124.551055
106,113,6171.357604
107,151,6190.815124
108,151,6332.217399
109,144,6360.449430
110,111,6390.323068
111,223,6290.323068
112,223,6248.621593
113,143,5720.663695
114,143,5787.702237
115,141,5916.943771
116,152,5715.476010
117,119,5923.607299
118,141,5714.449990
119,139,5722.050855
120,121,5905.823089
121,139,5705.823089
122,157,5878.871404
123,138,6013.264443
124,138,5895.087901
125,124,6075.365465
126,137,5942.293275
127,137,5986.620636
128,136,6229.513709
129,136,6031.051842
130,135,6209.722687
131,134,6281.142595
132,134,6364.773471
133,162,6456.359198
134,160,5781.142595
135,160,5724.310491
136,159,5670.496715
137,159,5626.065509
138,156,5464.971638
139,156,5405.823089
140,155,5440.225788
141,154,5414.449990
142,155,5440.225788
143,184,5320.663695
144,150,5941.373064
145,233,5863.854092
146,144,6066.373064
147,185,5993.550625
148,185,5902.247740
149,188,8446.852578
150,184,5115.994363
151,183,5183.032906
152,183,5268.262414
153,154,5202.876377
154,182,5042.798271
155,182,5100.189025
156,180,5144.815426
157,179,5167.798271
158,179,5292.798271
159,178,5254.413790
160,178,5444.801993
161,199,5463.842020
162,161,5659.098262
163,161,5835.493739
164,176,5919.343548
165,175,6010.542172
166,173,5900.137951
167,175,6109.645753
168,171,5954.120194
169,173,5925.609846
170,174,5862.826333
171,203,5669.076338
172,174,5582.037678
173,204,5544.821191
174,204,5482.037678
175,176,5319.076338
176,199,5158.998232
177,198,5131.190009
178,197,4929.413790
179,197,4967.798271
180,196,4744.815426
181,180,4890.589224
182,194,4842.798271
183,192,4715.994363
184,192,4715.994363
185,233,5455.034145
186,232,7545.974064
187,189,7380.092597
188,189,6904.735527
189,278,6504.735527
190,-1,0.000000
191,236,4850.804017
192,193,4581.365243
193,220,4413.660145
194,193,4538.660145
195,194,4663.660145
196,219,4538.660145
197,196,4663.660145
198,217,4694.583780
199,216,4838.842020
200,198,4963.842020
201,216,4994.076338
202,201,5119.076338
203,201,5244.076338
204,202,5314.332580
205,202,5369.076338
206,203,5523.584835
207,214,5640.756196
208,213,5741.721957
209,251,5601.384706
210,211,5244.583780
211,212,5119.583780
212,213,4994.583780
213,214,4869.583780
214,217,4744.583780
215,241,4659.335455
216,218,4513.842020
217,218,4369.583780
218,219,4244.583780
219,220,4119.583780
220,221,3994.583780
221,269,3869.583780
222,237,4469.583780
223,271,4590.874628
224,270,4175.634536
225,232,5768.217879
226,280,7340.658070
227,286,7587.556596
228,286,7500.999840
229,282,7253.434884
230,280,5963.624378
231,288,5411.597123
232,289,5182.449154
233,271,4289.647942
234,272,2810.880753
235,270,3607.806788
236,237,4194.583780
237,221,4094.583780
238,239,4151.372587
239,265,4051.372587
240,239,4151.372587
241,240,4333.375335
242,240,4501.372587
243,242,4601.372587
244,242,4701.372587
245,263,4780.138906
246,263,4960.544168
247,262,5058.049918
248,261,5145.183029
249,248,5245.183029
250,246,5351.856064
251,246,5466.755586
252,260,5383.817135
253,252,5543.895241
254,314,5392.212346
255,258,5343.832346
256,257,5165.513697
257,258,5065.513697
258,260,4965.513697
259,241,5115.999127
260,261,4640.513697
261,309,4540.513697
262,264,4453.380587
263,264,4355.874837
264,307,4173.872090
265,266,3735.144821
266,269,3635.144821
267,306,4098.700274
268,234,3235.144821
269,268,3335.144821
270,304,3307.806788
271,301,3973.420176
272,274,2494.652987
273,274,2089.059276
274,275,1989.059276
275,295,1889.059276
276,277,2589.059276
277,273,2489.059276
278,276,2789.059276
279,277,2689.059276
280,290,4974.622356
281,285,6231.083846
282,285,6623.950968
283,282,7626.759524
284,340,7618.736064
285,292,4951.191273
286,293,4771.531027
287,288,4766.498873
288,289,4266.498873
289,290,4116.498873
290,291,3816.498873
291,292,3666.498873
292,293,3366.498873
293,294,3216.498873
294,295,1564.795208
295,190,1464.795208
296,295,1564.795208
297,275,2205.287042
298,297,2305.287042
299,300,2489.059276
300,273,2389.059276
301,268,3716.029423
302,301,3874.143306
303,330,3262.251943
304,272,2931.974379
305,306,3997.315646
306,266,3872.315646
307,265,3972.315646
308,307,4097.315646
309,308,4222.315646
310,308,4347.315646
311,309,4491.573886
312,310,4597.315646
313,262,4890.701979
314,312,4876.824143
315,312,5022.315646
316,314,5151.824143
317,320,5369.504955
318,320,5241.573886
319,321,5096.082383
320,321,4941.573886
321,311,4816.573886
322,311,4691.573886
323,310,4747.315646
324,305,4739.356750
325,326,3987.251943
326,329,3862.251943
327,329,3612.251943
328,303,3633.903661
329,331,3312.251943
330,304,3112.251943
331,330,3212.251943
332,303,3553.799537
333,300,2589.059276
334,333,2689.059276
335,298,2505.287042
336,298,2528.893840
337,297,2428.893840
338,337,2528.893840
339,296,1847.637920
340,291,4961.199611
341,287,6361.216717
342,287,6856.504854
343,340,6988.667243
344,342,7386.834940
345,357,4402.500177
346,354,4307.600492
347,349,4294.717959
348,350,4210.106162
349,352,4144.717959
350,351,3960.106162
351,353,3860.106162
352,354,3844.717959
353,359,3760.106162
354,357,3694.717959
355,294,3517.357627
356,355,3617.357627
357,359,3394.717959
358,356,3717.357627
359,295,3244.717959
360,339,2147.637920
361,338,2828.893840
362,337,2728.893840
363,335,2821.514808
364,365,3985.397543
365,331,3885.397543
366,333,2889.059276
367,332,4150.142559
368,366,3158.317517
369,365,4135.397543
370,339,2369.653245
371,350,6604.439726
372,374,6539.137514
373,351,6461.307807
374,353,5975.111805
375,382,7147.428572
376,356,4768.986907
377,358,4737.774208
378,366,3423.498234
379,338,5492.211238
380,379,5742.211238
381,355,6084.700611
382,355,6553.185355
383,375,7851.434964
384,381,6740.920848
385,378,3923.498234
386,367,5151.391779
387,332,5070.580668
388,302,5936.453903
389,370,5097.862365
390,370,5277.079083
391,377,6593.845327
392,376,6516.306283
393,391,7157.871036
394,376,6942.118288
395,394,7032.257070
396,392,7258.347387
397,398,7357.691944
398,391,7232.691944
399,377,6804.323264
400,387,5737.663872
401,387,5521.274578
402,327,6229.979965
403,398,8801.927427
404,327,6407.336914
405,404,6782.336914
406,389,7085.637503
407,389,7406.812343
408,399,8995.783964
409,392,8888.014528
410,413,9481.213728
411,399,8899.705091
412,390,8402.878980
413,379,8959.198402
414,362,6780.205356
415,385,5723.671837
416,378,5700.694976
417,404,6982.336914
418,328,7347.813326
419,360,6120.829332
420,362,6903.968690
421,360,6181.014297
422,407,8551.637657
423,407,8480.648923
424,390,8985.936724
425,413,9542.293592
426,410,9786.377618
427,422,8975.901726
428,328,7534.304282
429,428,7934.304282
430,406,9062.535326
431,302,8761.115784
432,361,10229.273898
433,406,9419.357709
434,382,10500.415397
