node,parent,time
1,45,8367.194728
2,44,8175.348322
3,45,8207.457936
4,41,8166.583550
5,41,8006.778175
6,37,7964.831142
7,37,7880.090939
8,11,7799.627661
9,12,7720.867597
10,36,7591.734980
11,59,7529.211315
12,36,7450.451252
13,34,7464.295121
14,33,7380.638576
15,17,7293.300680
16,17,7188.500591
17,62,7047.079235
18,94,5195.096104
19,115,5207.636518
20,102,5385.236995
21,67,5412.972727
22,66,5297.275407
23,66,5443.927126
24,71,5317.908733
25,72,5550.333610
26,64,5699.837582
27,151,5756.968306
28,151,5902.547770
29,107,5847.262035
30,63,4389.489217
31,63,4339.371162
32,144,4789.373702
33,62,6919.661353
34,61,6916.002316
35,60,5297.998542
36,61,7114.110650
37,59,7214.414591
38,78,7310.453603
39,57,7430.814944
40,38,7546.303131
41,38,7611.493467
42,57,7560.321441
43,39,7696.568589
44,42,7710.321441
45,39,7770.851706
46,42,7896.662043
47,79,7858.823715
48,110,7956.370892
49,44,7967.712195
50,110,8046.385017
51,148,8138.358342
52,47,8194.233912
53,81,8014.143512
54,81,7918.504354
55,79,7819.629486
56,80,7721.317181
57,78,6945.402748
58,77,5000.115961
59,75,6389.035890
60,111,4590.008429
61,75,6226.346605
62,112,6198.551098
63,108,3909.254899
64,107,5363.496981
65,90,5060.205337
66,91,5072.275407
67,91,5055.027201
68,103,4886.905211
69,103,4692.961754
70,104,4575.344887
71,90,4586.044674
72,105,4666.803757
73,109,5420.485942
74,108,3539.222496
75,112,6031.090363
76,111,4398.534785
77,147,4539.138738
78,87,6404.570056
79,86,7073.807792
80,86,7215.105763
81,80,7365.105763
82,148,7511.134621
83,220,9861.203825
84,220,10074.391396
85,299,9217.343303
86,87,6321.727344
87,221,6121.727344
88,106,4514.449869
89,143,4491.816416
90,105,4451.415554
91,114,4429.527401
92,115,4282.400690
93,119,4278.436742
94,120,4261.688369
95,157,4442.221866
96,138,4480.317923
97,125,4533.612587
98,124,4411.542569
99,126,4186.241028
100,120,4252.200853
101,157,4066.755056
102,116,4210.236995
103,116,3964.950765
104,114,4149.610228
105,113,4151.415554
106,113,4198.222103
107,143,4238.496981
108,150,2644.096806
109,183,4479.409431
110,221,4557.474012
111,147,2743.051472
112,224,4375.607050
113,152,3747.528194
114,152,3780.489651
115,142,3882.400690
116,142,3679.906909
117,119,3879.472579
118,140,3696.134675
119,139,3677.916135
120,139,3861.688369
121,140,3696.134675
122,179,3839.647862
123,138,3969.129723
124,158,3840.359586
125,158,4018.831080
126,137,3884.164878
127,137,3928.492240
128,127,4178.492240
129,160,4014.135407
130,134,4178.505556
131,162,4233.169013
132,163,4312.444632
133,164,4372.387160
134,161,3741.899326
135,160,3699.400688
136,179,3657.730862
137,159,3567.937112
138,156,3420.836918
139,156,3361.688369
140,141,3379.906909
141,155,3279.906909
142,141,3379.906909
143,153,3388.129414
144,150,2364.373702
145,185,2247.724977
146,183,4194.499458
147,185,2373.930896
148,224,4057.151413
149,188,8061.646033
150,184,1538.995001
151,154,3253.845257
152,153,3280.489651
153,154,3122.375768
154,181,2962.297662
155,181,2954.906909
156,155,3100.680706
157,180,3095.930664
158,178,3236.207288
159,177,3196.285394
160,159,3419.892191
161,177,3377.893832
162,161,3573.150073
163,162,3753.427637
164,173,3813.370166
165,173,3863.446110
166,174,3744.906916
167,174,3952.759919
168,170,3717.768622
169,172,3679.774417
170,172,3617.768622
171,205,3435.036638
172,203,3326.221027
173,204,3370.369037
174,204,3307.585524
175,200,3255.392909
176,200,3100.729954
177,178,2996.285394
178,197,2836.207288
179,180,2931.008770
180,198,2770.930664
181,196,2704.906909
182,194,2974.001179
183,195,2827.705765
184,191,1138.995001
185,184,1835.414415
186,232,7824.521691
187,297,6961.868483
188,297,6519.528981
189,296,5960.864362
190,-1,0.000000
191,223,915.388203
192,191,1185.804549
193,194,2794.863053
194,195,2669.863053
195,196,2544.863053
196,218,2419.863053
197,198,2570.453642
198,218,2410.375536
199,197,2820.453642
200,201,2864.880426
201,216,2739.880426
202,201,2864.880426
203,202,2989.880426
204,203,3139.880426
205,202,3114.880426
206,205,3272.994309
207,206,3397.994309
208,212,3507.161359
209,251,3321.980892
210,211,2993.944483
211,213,2868.944483
212,213,2743.944483
213,244,2618.944483
214,216,2528.904348
215,241,2602.304817
216,217,2259.646108
217,240,2099.568002
218,239,2019.863053
219,238,2505.235542
220,238,2461.203825
221,235,2435.859061
222,223,725.000000
223,190,400.000000
224,235,2840.598907
225,296,6226.530562
226,281,7641.605194
227,281,7872.499324
228,282,7782.968367
229,282,7534.243879
230,286,6260.430589
231,288,5690.144749
232,289,5460.996781
233,222,971.221445
234,222,950.000000
235,236,2134.819196
236,237,2034.819196
237,239,1934.819196
238,236,2234.819196
239,268,1734.819196
240,268,1798.528137
241,217,2276.344697
242,240,2148.528137
243,244,2448.528137
244,242,2348.528137
245,242,2448.528137
246,245,2673.528137
247,245,2773.528137
248,246,2873.528137
249,246,2973.528137
250,212,3147.057370
251,247,3187.351771
252,247,3151.846786
253,248,3276.641025
254,257,3366.346899
255,248,3245.179856
256,257,3063.234011
257,258,2963.234011
258,259,2863.234011
259,260,2763.234011
260,262,2538.234011
261,260,2638.234011
262,308,2338.234011
263,262,2438.234011
264,263,2620.236758
265,266,2476.893410
266,308,2376.893410
267,269,2451.046962
268,234,1374.264069
269,237,2251.046962
270,222,1259.438958
271,233,1287.449211
272,233,1271.221445
273,272,1678.191960
274,275,1531.038507
275,277,1431.038507
276,274,1731.038507
277,223,1231.038507
278,277,1331.038507
279,275,1831.038507
280,286,5282.614603
281,285,6511.892842
282,285,6904.759964
283,280,7934.500724
284,340,7899.862344
285,291,5232.000268
286,291,5052.125992
287,288,5045.046500
288,289,4545.046500
289,290,4395.046500
290,292,4095.046500
291,292,3945.046500
292,279,3645.046500
293,278,3095.443506
294,277,1591.593634
295,276,2091.593634
296,276,2047.266273
297,298,2138.747087
298,273,2038.747087
299,273,1994.419726
300,301,1901.493434
301,272,1497.606073
302,305,2531.401907
303,304,2733.473426
304,269,2633.473426
305,307,2251.893410
306,305,2376.893410
307,270,1876.893410
308,307,2001.893410
309,310,2809.455456
310,263,2684.455456
311,310,2844.533562
312,261,2908.650357
313,261,2993.550771
314,259,2964.790455
315,314,3122.904338
316,258,3189.194131
317,314,3535.426065
318,312,3492.281233
319,312,3436.025935
320,321,3294.533562
321,311,3169.533562
322,309,3199.967940
323,311,3169.533562
324,265,3181.343550
325,265,3133.113647
326,266,3025.931159
327,306,2776.893410
328,306,2795.969775
329,304,2883.473426
330,302,2781.401907
331,302,2881.401907
332,330,2961.679471
333,301,2010.563187
334,333,2110.563187
335,300,2184.336147
336,300,2262.048562
337,299,2354.974854
338,298,2399.302215
339,295,2315.200432
340,290,5242.325891
341,287,6639.764344
342,341,7139.764344
343,287,7268.922621
344,341,7667.504583
345,349,4359.837783
346,348,4681.038507
347,349,4230.329286
348,350,4581.038507
349,293,4080.329286
350,353,4331.038507
351,353,4231.038507
352,358,9357.549486
353,355,4131.038507
354,293,3697.523235
355,356,3881.038507
356,279,3781.038507
357,295,4019.189287
358,376,8793.523778
359,294,3273.296640
360,335,2684.336147
361,335,2608.600215
362,334,2534.827255
363,334,2471.118314
364,271,2407.995953
365,333,2326.790953
366,271,2295.231430
367,330,3546.663300
368,366,2564.489670
369,365,2576.790953
370,361,2928.756427
371,351,6971.932522
372,374,6900.924554
373,345,6431.371032
374,355,6336.898845
375,376,8970.017967
376,381,7552.052876
377,356,4717.120768
