node,parent,time
1,78,9925.838670
2,42,9702.990560
3,45,9755.498038
4,5,9720.244613
5,38,9560.166507
6,58,9504.738460
7,37,9420.639256
8,11,9340.175978
9,36,9259.969171
10,12,9131.549031
11,59,9069.759632
12,60,8990.127675
13,34,9012.740663
14,34,8936.146914
15,33,8850.238433
16,17,8762.804305
17,147,8621.382949
18,93,6610.435491
19,92,6563.328183
20,92,6745.069898
21,67,6745.293793
22,68,6643.989192
23,65,6766.657434
24,65,6645.385442
25,72,6933.179032
26,106,7120.254120
27,26,7220.254120
28,26,7335.312251
29,107,7305.044109
30,63,7656.589384
31,63,7606.471329
32,146,8067.173633
33,61,8475.238433
34,61,8464.447858
35,60,8557.942363
36,76,8654.783249
37,59,8754.962908
38,57,8865.094568
39,57,8978.855046
40,58,9084.625290
41,38,9166.134433
42,87,9110.327081
43,39,9244.608691
44,87,9238.461625
45,39,9318.891808
46,45,9446.367296
47,79,9357.858019
48,47,9457.858019
49,44,9495.852379
50,47,9557.858019
51,56,9646.143913
52,48,9707.858019
53,81,8881.273581
54,81,8785.634422
55,56,9321.879844
56,79,9221.879844
57,86,8493.442850
58,110,8259.246589
59,76,7929.584207
60,75,7849.952250
61,75,7774.792146
62,147,7773.046882
63,107,7176.355066
64,88,6815.626414
65,71,6365.876945
66,70,6457.441055
67,68,6387.348267
68,102,6172.290135
69,115,6097.154947
70,90,5942.052852
71,91,5891.535296
72,71,6049.649179
73,109,6959.251607
74,109,6815.436031
75,112,7579.535904
76,112,7659.167861
77,110,7800.910161
78,274,7963.537725
79,86,8572.842095
80,270,8082.235831
81,80,8232.235831
82,80,8382.235831
83,189,8430.970189
84,297,8829.013185
85,297,9026.996194
86,224,7820.761647
87,224,7681.822618
88,106,5912.506820
89,90,5896.279054
90,91,5796.279054
91,104,5696.279054
92,102,5637.990407
93,103,5652.247096
94,115,5728.467188
95,120,5992.527143
96,100,6094.209000
97,98,6213.250435
98,122,6067.476638
99,126,6679.517735
100,120,5780.959898
101,122,5656.732858
102,103,5492.216609
103,114,5242.216609
104,114,5396.279054
105,104,5496.279054
106,105,5596.279054
107,105,5696.279054
108,153,5958.403093
109,144,6018.175095
110,185,6088.273305
111,185,6023.486399
112,148,5924.052591
113,153,5310.119935
114,143,5027.158478
115,116,5256.768132
116,142,5050.612850
117,118,5364.212944
118,116,5150.612850
119,141,5166.840616
120,119,5390.447414
121,119,5266.840616
122,140,5395.725196
123,139,5652.692579
124,138,6331.773625
125,138,6511.985143
126,137,6377.441586
127,137,6421.768948
128,136,6664.662020
129,160,6464.745297
130,134,6625.502079
131,162,6680.165535
132,163,6759.441154
133,164,6821.065184
134,161,6188.895849
135,199,6149.547290
136,159,6105.645026
137,159,6061.213820
138,157,5901.657362
139,140,5050.612850
140,141,4950.612850
141,142,4850.612850
142,152,4750.612850
143,151,4560.119935
144,150,5599.098730
145,150,5564.289444
146,144,5724.098730
147,148,5668.735831
148,193,5568.735831
149,280,7213.522476
150,143,4773.720029
151,184,4402.006052
152,151,4527.006052
153,152,4685.119935
154,192,4679.218983
155,182,4798.041068
156,179,5701.657362
157,179,5576.657362
158,157,5736.735468
159,178,5689.562101
160,199,5870.502081
161,176,5824.890354
162,161,6020.146596
163,162,6200.424160
164,175,6262.048189
165,164,6387.048189
166,173,6291.419246
167,173,6502.891688
168,171,6349.084682
169,174,6307.118430
170,174,6257.790822
171,203,6064.040826
172,204,5970.304731
173,175,5936.102486
174,204,5877.002166
175,176,5659.968460
176,200,5499.890354
177,178,5524.640207
178,198,5364.562101
179,180,5376.657362
180,196,5216.579256
181,180,5362.353054
182,192,4540.650315
183,191,4114.473600
184,191,3934.967510
185,236,5168.354830
186,280,7273.116888
187,225,6127.711473
188,189,6086.316294
189,295,5686.316294
190,-1,0.000000
191,222,3711.360712
192,183,4249.102720
193,184,4217.810223
194,193,4342.810223
195,183,4397.316312
196,218,5010.423975
197,196,5135.423975
198,217,5060.423975
199,198,5220.502081
200,216,5264.040826
201,200,5389.040826
202,201,5514.040826
203,201,5639.040826
204,202,5709.297068
205,202,5764.040826
206,203,5918.549323
207,215,6039.837038
208,215,6133.890502
209,210,6010.423975
210,211,5610.423975
211,212,5485.423975
212,214,5360.423975
213,214,5235.423975
214,217,5110.423975
215,216,5033.606448
216,219,4873.528342
217,218,4735.423975
218,221,4610.423975
219,221,4485.423975
220,223,4110.423975
221,220,4235.423975
222,235,3311.360712
223,234,3360.423975
224,236,4656.409423
225,294,5552.168251
226,230,7085.368430
227,230,7330.318821
228,229,7231.417544
229,281,6981.417544
230,285,5702.436761
231,286,5190.888483
232,294,5022.487264
233,222,3557.582157
234,272,2965.139267
235,234,3065.139267
236,233,3857.582157
237,220,4367.814728
238,237,4467.814728
239,238,4567.814728
240,239,4667.814728
241,219,4770.467831
242,241,4952.470578
