node,parent,time
1,45,9070.088396
2,44,8838.725964
3,45,8910.351603
4,43,8877.086585
5,43,8717.660308
6,40,8678.069498
7,40,8614.360557
8,78,8540.067747
9,36,9267.791509
10,36,9140.229917
11,58,8277.271601
12,59,8998.898076
13,34,9028.254008
14,61,8942.748549
15,33,8865.174939
16,17,8789.736337
17,110,8648.314981
18,92,7027.166033
19,92,6954.380571
20,102,7152.252501
21,66,7147.692209
22,66,7019.138819
23,22,7195.915514
24,71,7078.323434
25,72,7296.916551
26,107,7446.221779
27,109,7500.015556
28,109,7643.727966
29,144,7545.986810
30,73,7779.443243
31,74,7700.998430
32,74,8128.212693
33,75,8490.174939
34,61,8479.961203
35,60,8568.713504
36,59,8662.605587
37,58,7960.118514
38,87,8026.736926
39,86,8133.708611
40,78,8253.805429
41,38,8327.776791
42,57,8271.036800
43,39,8399.462256
44,79,8373.699083
45,39,8473.745374
46,57,8599.516219
47,79,8486.033804
48,47,8586.033804
49,44,8631.089837
50,47,8686.033804
51,81,6943.315844
52,48,8836.033804
53,82,9415.317518
54,235,9317.800876
55,80,6609.340685
56,81,6527.420497
57,86,7656.118106
58,233,7444.730310
59,76,7935.883495
60,76,7860.723391
61,75,7790.305492
62,110,7805.013334
63,73,7320.710587
64,107,7110.913592
65,70,6806.126193
66,70,6794.138819
67,69,6815.818076
68,69,6620.533368
69,91,6420.533368
70,91,6278.750615
71,89,6346.459375
72,89,6413.386699
73,147,7041.202090
74,112,6872.973672
75,112,7595.049250
76,111,7665.467149
77,224,7009.565297
78,87,7121.882287
79,224,7701.017881
80,273,6008.299921
81,80,6158.299921
82,235,8909.106099
83,189,8491.181213
84,189,8663.074935
85,187,8621.659303
86,223,6983.436904
87,223,6839.039574
88,106,6282.645788
89,104,6211.830255
90,114,6222.820035
91,104,6151.275128
92,115,6029.042794
93,141,6109.779341
94,119,6131.163766
95,122,6274.478455
96,122,6328.300374
97,124,6402.202803
98,125,6283.142875
99,126,6054.999457
100,139,6080.519009
101,121,5930.020526
102,115,5977.252501
103,114,5755.053153
104,113,5851.275128
105,151,5940.360167
106,151,5966.418022
107,113,5985.913592
108,236,6138.055284
109,144,6162.807644
110,111,6109.983836
111,148,6009.983836
112,148,5939.565937
113,143,5472.956479
114,143,5539.995021
115,118,5629.042794
116,155,5516.192959
117,141,5712.253458
118,142,5422.887513
119,118,5522.887513
120,140,5733.182228
121,140,5539.508042
122,139,5633.678174
123,158,5838.700363
124,158,5707.580603
125,124,5887.858167
126,137,5752.923308
127,137,5797.250670
128,136,6040.143742
129,136,5841.681875
130,135,6025.597750
131,134,6097.017658
132,134,6180.648535
133,163,6278.382086
134,160,5597.017658
135,160,5540.185554
136,159,5481.126748
137,159,5436.695542
138,156,5301.514828
139,156,5242.366278
140,155,5223.280276
141,142,5206.659747
142,154,5106.659747
143,150,5072.956479
144,191,5743.731279
145,191,5594.659473
146,147,5810.181182
147,185,5675.552062
148,185,5584.249177
149,231,7232.918167
150,192,4859.356385
151,184,4993.985505
152,150,5109.356385
153,184,4998.646020
154,183,4755.768026
155,154,4883.243514
156,182,4981.358616
157,179,4978.428305
158,179,5103.428305
159,178,5065.043823
160,177,5260.677057
161,177,5281.730367
162,175,5537.616752
163,161,5653.382086
164,161,5753.429424
165,176,5857.356245
166,199,5746.685474
167,175,5956.534448
168,206,5795.757117
169,174,5782.503312
170,205,5723.294765
171,205,5513.120891
172,202,5436.266806
173,200,5412.365301
174,215,5352.387049
175,176,5165.965033
176,199,5005.886927
177,178,4900.121929
178,197,4740.043823
179,197,4778.428305
180,196,4676.229020
181,182,4718.321620
182,183,4590.846132
183,193,4430.768026
184,192,4526.946963
185,222,5137.035581
186,230,7361.447458
187,231,6159.317937
188,232,5875.431756
189,273,5746.527319
190,-1,0.000000
191,222,4524.612745
192,193,4392.317843
193,221,4224.612745
194,195,4470.073738
195,220,4345.073738
196,195,4470.073738
197,220,4474.290178
198,217,4525.652609
199,198,4685.730715
200,198,4794.910849
201,216,4904.593914
202,215,4998.945414
203,214,5116.103601
204,218,5188.602687
205,213,5192.964680
206,213,5336.137709
207,212,5450.765219
208,211,5544.318324
209,248,5340.647734
210,246,5000.295393
211,212,4884.299385
212,245,4759.299385
213,244,4644.671875
214,242,4567.810796
215,217,4450.652609
216,218,4424.359596
217,240,4200.652609
218,219,4155.101356
219,239,4030.101356
220,238,3925.997373
221,237,3824.612745
222,221,4124.612745
223,270,3621.703720
224,233,3834.171621
225,232,5607.898073
226,280,7153.197263
227,281,7395.302553
228,282,7306.075319
229,285,7056.872846
230,280,5776.163572
231,289,5186.885420
232,288,5022.129347
233,270,3306.796043
234,271,2759.120910
235,236,3999.612745
236,238,3899.612745
237,267,3599.612745
238,237,3699.612745
239,265,3799.612745
240,239,3899.612745
241,219,4315.145212
242,240,4249.612745
243,242,4349.612745
244,262,4374.255529
245,244,4474.255529
246,245,4699.255529
247,246,4799.255529
248,263,4881.708741
249,259,4907.291832
250,249,5089.294579
251,248,5207.668861
252,257,5054.679482
253,249,5211.429958
254,256,5087.165889
255,256,4965.030510
256,257,4783.027763
257,259,4683.027763
258,261,4722.090999
259,260,4483.027763
260,262,4258.027763
261,263,4297.090999
262,307,4058.027763
263,309,4097.090999
