node,parent,time
1,45,7722.704948
2,44,7525.635161
3,43,7556.102428
4,5,7499.505297
5,41,7339.427191
6,41,7304.697611
7,8,7260.370249
8,40,7160.370249
9,11,7130.528052
10,12,7015.885869
11,37,6935.271810
12,37,6874.464512
13,36,6967.975517
14,34,6912.467260
15,33,6852.040194
16,17,6790.153441
17,61,6648.732085
18,120,5130.275642
19,102,5103.295875
20,102,5273.308313
21,66,5289.294488
22,66,5160.741097
23,24,5295.080644
24,71,5167.605156
25,107,5413.387898
26,64,5545.725113
27,108,5612.329249
28,108,5757.534155
29,146,5715.647438
30,73,5933.336481
31,74,5879.304511
32,111,6264.307078
33,61,6477.040194
34,60,6440.768204
35,78,6501.547418
36,58,6548.899151
37,58,6617.073759
38,57,6610.608280
39,38,6760.608280
40,57,6844.142483
41,40,6944.142483
42,38,6910.608280
43,39,7026.361925
44,39,7060.608280
45,43,7126.361925
46,42,7246.948881
47,42,7236.568400
48,79,7326.089170
49,44,7317.999034
50,48,7426.089170
51,56,7506.869074
52,49,7567.999034
53,54,7361.077752
54,55,7261.077752
55,82,7161.077752
56,82,7082.605005
57,86,6238.956561
58,78,6101.685556
59,60,5919.781086
60,76,5819.781086
61,76,5776.593908
62,112,5965.135028
63,73,5474.603826
64,107,5209.384512
65,90,4909.901760
66,71,4935.741097
67,114,4947.170514
68,91,4745.861434
69,91,4554.142451
70,114,4457.480359
71,90,4435.741097
72,105,4533.508646
73,109,5195.095328
74,109,5051.279753
75,278,5724.524844
76,279,5624.524844
77,87,5718.265868
78,86,5766.275359
79,87,6459.342379
80,79,6609.342379
81,299,6731.853408
82,299,6835.117632
83,188,8902.257807
84,83,9127.257807
85,83,9352.257807
86,279,5566.275359
87,276,5518.265868
88,106,4381.154757
89,105,4334.348209
90,104,4301.111977
91,104,4284.884211
92,103,4196.518020
93,118,4212.688709
94,120,4199.392476
95,101,4370.693616
96,123,4422.222034
97,124,4483.279488
98,123,4357.527740
99,126,4137.938812
100,101,4189.904960
101,121,3989.904960
102,103,4098.308313
103,152,3848.308313
104,150,3984.884211
105,113,4018.120443
106,113,4064.926991
107,151,4084.384512
108,151,4225.786787
109,144,4254.018817
110,111,4283.892456
111,223,4183.892456
112,223,4142.190981
113,143,3614.233082
114,143,3681.271624
115,141,3810.513159
116,152,3609.045397
117,119,3817.176686
118,141,3608.019378
119,139,3615.620242
120,121,3799.392476
121,139,3599.392476
122,157,3772.440792
123,138,3906.833831
124,138,3788.657289
125,124,3968.934853
126,137,3835.862662
127,137,3880.190024
128,136,4123.083097
129,136,3924.621230
130,135,4103.292074
131,134,4174.711982
132,134,4258.342859
133,162,4349.928585
134,160,3674.711982
135,160,3617.879878
