node,parent,time
1,38,8063.888660
2,42,7850.391271
3,46,7900.409389
4,41,7849.440628
5,41,7689.635253
6,11,7641.044296
7,11,7548.295914
8,37,7457.921061
9,12,7376.876263
10,35,7244.681747
11,37,7190.350387
12,35,7106.459918
13,34,7122.071118
14,33,7022.656706
15,17,6935.318811
16,17,6830.518722
17,62,6689.097366
18,117,4664.235958
19,115,4633.648318
20,92,4815.491981
21,66,4829.795048
22,66,4701.241657
23,71,4843.015981
24,71,4715.738026
25,88,4917.285699
26,64,5157.055034
27,72,5254.149429
28,26,5372.113166
29,64,5335.495940
30,29,5707.147659
31,73,5668.263274
32,109,6129.905372
33,62,6561.679483
34,61,6573.778313
35,61,6669.138525
36,59,6789.891480
37,60,6872.152335
38,58,7000.286291
39,57,7128.221293
40,59,7226.408400
41,58,7294.350545
42,57,7257.727791
43,38,7381.894729
44,78,7391.329923
45,39,7468.258056
46,39,7587.160287
47,79,7539.253836
48,78,7633.047873
49,44,7648.720677
50,145,7732.999070
51,80,7813.220861
52,47,7874.664033
53,82,7695.492309
54,82,7603.104525
55,80,7505.278677
56,81,7408.401467
57,87,6642.809097
58,76,6385.367597
59,60,6063.169387
60,76,5963.169387
61,146,5884.122602
62,146,5840.569228
63,108,5262.746247
64,106,4820.714433
65,72,4447.656578
66,89,4476.241657
67,91,4474.744647
68,102,4312.402207
69,102,4124.771571
70,91,3976.720335
71,89,3983.873967
72,88,4047.656578
73,106,5008.244335
74,109,4875.337855
75,112,5722.336976
76,111,5767.913145
77,112,5949.172711
78,87,6105.590836
79,86,6754.237913
80,79,6904.237913
81,86,7039.280891
82,81,7189.280891
83,276,9489.500989
84,189,9681.627716
85,276,9891.947911
86,110,6002.157465
87,110,5822.748124
88,107,3872.656578
89,105,3849.244847
90,107,3933.211705
91,105,3849.244847
92,115,3708.412490
93,120,3761.168138
94,117,3734.933667
95,100,3918.019585
96,100,4019.136653
97,99,4123.620010
98,125,4016.186514
99,123,3775.410303
100,122,3705.887551
101,140,3596.879408
102,114,3632.328681
103,114,3404.385684
104,113,3433.017081
105,104,3533.017081
106,104,3633.017081
107,143,3572.656578
108,150,3997.588154
109,150,4078.076919
110,111,4212.429832
111,148,4112.429832
112,144,4066.853663
113,152,3054.698432
114,113,3189.327553
115,118,3308.412490
116,143,3199.913340
117,118,3315.857302
118,141,3102.257209
119,141,3118.484975
120,119,3342.091772
121,119,3218.484975
122,139,3249.680361
123,122,3495.901806
124,138,3470.487476
125,123,3620.901806
126,136,3529.668763
127,126,3629.668763
128,126,3849.824975
129,135,3645.896529
130,135,3815.080959
131,130,3940.080959
132,130,4065.080959
133,163,4038.650412
134,137,3595.322188
135,136,3329.668763
136,160,3229.668763
137,138,3295.322188
138,139,3040.371212
139,157,2858.368465
140,142,2902.257209
141,142,2802.257209
142,155,2702.257209
143,152,2722.289010
144,151,3663.740775
145,185,3651.792140
146,144,3788.740775
147,148,3786.695173
148,185,3686.695173
149,189,8693.324119
150,151,2892.486349
151,153,2757.857229
152,182,2587.659890
153,155,2623.228109
154,184,3023.296482
155,182,2362.220446
156,153,2998.228109
157,181,2504.815074
158,178,3174.264881
159,157,2754.815074
160,159,2978.421872
161,177,3315.951425
162,160,3233.372848
163,162,3413.650412
164,162,3525.990346
165,164,3650.990346
166,163,3684.066757
167,164,3775.990346
168,173,3865.326795
169,173,3793.346193
170,172,3813.014963
171,174,3647.851997
172,174,3521.467369
173,175,3412.557538
174,175,3421.467369
175,159,3136.423512
176,177,3157.949785
177,178,2934.342987
178,197,2774.264881
179,195,3173.481514
180,195,3014.971090
181,194,2168.474473
182,222,2104.829692
183,193,2466.374733
184,193,2543.062164
185,184,3239.481578
186,231,8854.498999
187,188,7627.611379
188,277,7151.953939
189,298,6765.080099
190,-1,0.000000
191,192,2362.930699
192,194,2092.514353
193,192,2260.219451
194,222,1842.514353
195,183,2749.217445
196,183,2847.983171
197,181,2508.511236
198,216,2789.635497
199,197,2758.511236
200,199,2883.511236
201,199,3008.511236
202,200,3133.511236
203,200,3258.511236
204,201,3300.058831
205,201,3383.511236
206,202,3536.624123
207,203,3661.624123
208,202,3783.511236
209,250,3615.980548
210,243,3292.756423
211,244,3187.428904
212,243,3065.811303
213,214,2955.895899
214,215,2830.895899
215,241,2705.895899
216,218,2589.635497
217,216,2749.713603
218,266,2320.377256
219,218,2445.377256
220,221,2820.377256
221,219,2695.377256
222,237,1258.883476
223,191,2878.318902
224,223,3108.807513
225,277,7067.633657
226,280,8737.825223
227,280,8979.110931
228,340,8890.677347
229,282,8646.759268
230,291,7358.028964
231,292,6718.790686
232,296,6511.778070
233,191,2995.880144
234,271,3017.049403
235,237,1083.883476
236,238,2915.793602
237,190,883.883476
238,219,2715.793602
239,241,2659.444276
240,239,2759.444276
241,267,2379.935779
242,263,2528.489910
243,242,2628.489910
244,242,2728.489910
245,261,2744.717676
246,245,2969.717676
247,245,3069.717676
248,247,3169.717676
249,246,3269.717676
250,246,3361.029572
251,247,3483.541310
252,248,3449.226174
253,248,3572.830564
254,316,3458.368037
255,259,3431.114240
256,259,3253.489910
257,258,2953.489910
258,260,2853.489910
259,258,2953.489910
260,261,2528.489910
261,263,2428.489910
262,260,2728.489910
263,264,2228.489910
264,266,2046.487163
265,235,1666.978666
266,265,1766.978666
267,265,1866.978666
268,269,2817.049403
269,270,2717.049403
270,302,2617.049403
271,270,2717.049403
272,273,2765.924335
273,300,2358.953820
274,299,2865.537442
275,301,2249.309676
276,298,2981.765208
277,278,2958.953820
278,273,2858.953820
279,278,2958.953820
280,292,6371.789509
281,286,7625.154459
282,286,8017.275352
283,287,8993.845977
284,340,8914.181720
285,288,6345.490942
286,288,6163.562861
287,352,6144.065284
288,357,5648.174658
289,290,5520.972996
290,291,5220.972996
291,279,5070.972996
292,279,4772.961813
293,296,4710.473466
294,295,2658.953820
295,297,2558.953820
296,294,2858.953820
297,300,2358.953820
298,299,2665.537442
299,275,2565.537442
300,301,2058.953820
301,235,1655.066459
302,267,2332.005547
303,332,3053.830705
304,331,3092.685144
305,269,2963.270848
306,307,2848.263858
307,309,2598.263858
308,264,2223.263858
309,308,2348.263858
310,311,2777.600205
311,309,2617.522099
312,313,3011.780339
313,311,2886.780339
314,313,3044.894222
315,257,3183.978522
316,257,3200.977284
