node,parent,time
1,57,343.555771
2,65,330.677745
3,74,320.425098
4,34,352.526642
5,74,319.476865
6,75,357.417068
7,65,327.386655
8,64,319.607151
9,95,319.156279
10,39,318.101175
11,132,352.042484
12,76,319.289271
13,104,355.955878
14,50,327.178053
15,160,337.475445
16,183,333.153172
17,80,331.230495
18,53,319.201153
19,105,312.842219
20,36,315.184033
21,26,331.370010
22,68,318.710731
23,100,326.189420
24,55,333.638008
25,97,330.532505
26,130,327.246904
27,93,328.331822
28,78,332.970443
29,89,306.806144
30,102,307.180237
31,99,310.784903
32,124,322.347528
33,95,306.306847
34,90,333.738348
35,50,312.413293
36,99,305.134158
37,100,318.401663
38,96,329.065557
39,89,293.770125
40,87,335.543261
41,67,308.840015
42,124,306.787725
43,66,320.766538
44,130,313.208821
45,80,307.660859
46,94,299.701985
47,83,294.448319
48,128,288.956336
49,110,313.403093
50,86,295.413293
51,103,305.314201
52,97,310.558435
53,98,290.969965
54,150,300.131249
55,78,310.834499
56,110,313.300622
57,115,306.555771
58,98,288.815579
59,85,289.324901
60,90,313.674070
61,85,288.453626
62,86,292.124545
63,116,281.706999
64,102,281.136383
65,83,284.062297
66,197,304.642023
67,127,292.715499
68,118,278.898672
69,93,294.290463
70,127,289.297658
71,108,274.501477
72,173,287.399899
73,104,303.988255
74,112,270.385114
75,158,301.470665
76,133,272.119365
77,128,269.880114
78,141,291.860833
79,145,310.043272
80,153,285.524915
81,162,316.414791
82,165,278.752461
83,137,272.357597
84,145,304.762674
85,138,268.229878
86,118,271.876088
87,119,299.142711
88,155,290.598546
89,112,263.620498
90,141,287.597260
91,131,293.207562
92,103,278.143190
93,154,281.641352
94,137,268.397034
95,116,259.616377
96,158,285.648971
97,115,279.542310
98,133,259.953840
99,138,260.089735
100,153,273.179987
101,220,353.083359
102,108,253.841695
103,159,270.143190
104,167,281.162831
105,169,250.769681
106,142,343.529278
107,156,295.697127
108,169,246.770627
109,174,336.765502
110,155,269.437197
111,156,293.656317
112,140,244.385114
113,197,266.564415
114,178,332.037899
115,175,261.157533
116,179,238.521353
117,147,266.347822
118,157,240.571136
119,189,262.742162
120,179,241.883790
121,165,244.582213
122,178,320.426212
123,147,260.713908
124,150,244.161852
125,172,267.975857
126,182,240.325908
127,196,247.704389
128,140,229.880114
129,159,246.181412
130,154,247.817690
131,167,255.617670
132,213,252.760059
133,143,229.540027
134,170,326.661106
135,149,327.988282
136,184,273.633396
137,143,227.580370
138,157,229.025286
139,231,253.287135
140,176,223.171910
141,188,242.820034
142,174,311.326794
143,176,223.457265
144,210,235.547479
145,189,247.561275
146,180,256.020781
147,231,247.112438
148,192,303.837652
149,170,316.674573
150,211,228.006357
151,162,264.793857
152,198,225.422398
153,196,232.572106
154,188,233.257470
155,195,234.652143
156,184,259.641614
157,190,210.157324
158,191,230.639881
159,210,224.045468
160,175,228.333336
161,198,214.871504
162,222,253.613517
163,232,207.114434
164,182,212.924069
165,211,213.906490
166,203,284.316831
167,213,225.936026
168,282,290.889819
169,190,202.759265
170,260,290.425764
171,194,308.434485
172,205,229.962702
173,212,208.279738
174,192,279.311173
175,195,215.803372
176,200,195.279259
177,181,296.596730
178,203,270.426212
179,200,193.510244
180,205,223.264102
181,241,291.596730
182,206,196.645248
183,201,205.575745
184,222,236.619885
185,236,246.314833
186,248,219.895690
187,267,284.786724
188,201,203.424603
189,191,204.759406
190,206,185.642022
191,221,203.345192
192,229,264.888968
193,199,300.524056
194,241,285.630977
195,227,199.310949
196,227,197.216767
197,221,193.134176
198,232,181.856356
199,223,290.524056
200,217,176.305593
201,251,193.575745
202,256,210.365903
203,229,249.834951
204,267,272.806912
205,274,201.309604
206,217,172.603618
207,260,261.964906
208,224,205.277221
209,225,179.362459
210,237,184.195751
211,212,177.409915
212,225,175.173847
213,237,185.217479
214,223,267.553606
215,266,225.784691
216,246,237.441244
217,233,162.704123
218,252,277.603270
219,251,173.708379
220,282,239.043892
221,292,171.944555
222,249,207.602649
223,263,256.923460
224,268,193.111696
225,233,159.362459
226,257,222.762197
227,319,172.478133
228,244,227.833447
229,244,224.281087
230,274,181.551653
231,248,176.592937
232,250,153.963704
233,250,149.362459
234,261,283.751761
235,266,211.857973
236,270,207.688418
237,253,162.195751
238,261,264.370242
239,255,217.870298
240,268,184.068899
241,263,233.968611
242,277,206.591767
243,256,180.315934
244,287,212.967378
245,252,241.311366
246,255,209.982183
247,271,250.360451
248,299,163.592937
249,227,188.602649
250,269,136.993142
251,253,149.666748
252,283,233.501116
253,269,141.604490
254,264,274.683201
255,278,203.657628
256,291,170.315934
257,221,199.675405
258,307,172.488031
259,290,168.999981
260,301,208.224791
261,288,238.563266
262,295,257.381291
263,283,207.719802
264,284,252.751489
265,279,258.538813
266,270,188.771180
267,286,226.709190
268,291,163.045103
269,292,123.576734
270,289,182.688418
271,288,216.819431
272,271,217.819431
273,278,186.858638
274,299,148.536505
275,311,155.707888
276,294,195.497617
277,289,179.665943
278,323,183.858638
279,284,236.402869
280,296,264.901903
281,300,154.637846
282,287,189.647536
283,312,194.913553
284,310,232.160228
285,296,267.067209
286,227,213.709190
287,312,179.351905
288,301,196.969998
289,302,164.799874
290,300,146.196473
291,306,144.606014
292,410,103.929851
293,306,147.795561
294,323,178.033368
295,221,231.886194
296,298,238.274849
297,298,243.269376
298,308,219.248552
299,319,124.682784
300,333,138.985370
301,318,174.609318
302,317,153.486165
303,292,109.929851
304,309,242.670197
305,313,173.247091
306,332,134.757156
307,333,137.373931
308,326,192.565224
309,308,223.565224
310,326,185.641415
311,303,125.741239
312,318,162.263898
313,302,164.302819
314,342,234.360530
315,341,242.944251
316,345,235.852564
317,327,127.486165
318,330,155.192830
319,339,107.478133
320,310,210.939636
321,292,126.755276
322,303,124.929851
323,335,141.977855
324,340,232.380698
325,332,126.333234
326,330,149.240866
327,319,114.758243
328,317,147.209248
329,341,223.793109
330,322,136.591755
331,362,205.358270
332,347,112.916827
333,347,113.667392
334,337,230.707014
335,319,122.742471
336,321,155.390918
337,336,204.401121
338,340,194.595930
339,353,86.077199
340,336,185.540545
341,379,213.944251
342,362,195.527554
343,344,158.818153
344,366,137.818153
345,370,202.611024
346,353,75.638006
347,346,96.638006
348,351,147.913074
349,385,181.660171
350,292,156.131384
351,381,139.666863
352,363,204.439457
353,393,72.475728
354,360,225.341830
355,369,210.384633
356,358,150.396244
357,369,222.028762
358,366,127.374515
359,358,155.392367
360,370,213.637130
361,388,180.021003
362,385,182.997590
363,390,196.439457
364,386,149.068179
365,339,105.774914
366,371,116.557862
367,396,215.483170
368,373,165.995552
369,379,191.945544
370,377,184.226248
371,346,98.309574
372,377,196.571668
373,386,156.508719
374,412,193.821350
375,372,209.913332
376,420,96.356633
377,350,177.155180
378,414,173.976571
379,398,179.738988
380,372,220.341396
381,418,118.571840
382,401,179.195414
383,417,146.977389
384,401,184.101560
385,415,155.411362
386,381,124.228694
387,390,178.964973
388,414,157.173684
389,371,116.337330
390,407,170.362648
391,-1,0.000000
392,405,156.376724
393,410,36.628832
394,396,198.888488
395,423,191.971991
396,398,178.863504
397,407,161.576306
398,403,162.738988
399,412,187.685338
400,437,162.579472
401,425,160.756325
402,416,119.151955
403,402,141.151955
404,406,209.081416
405,422,145.560070
406,399,208.081416
407,433,150.946160
408,431,109.954487
409,408,110.954487
410,391,18.601075
411,393,74.956367
412,403,156.284701
413,399,202.003159
414,415,134.151955
415,402,132.151955
416,411,105.550484
417,418,95.006243
418,411,84.956367
419,417,102.286353
420,424,61.990953
421,427,184.052984
422,433,125.710636
423,425,165.571234
424,410,52.142095
425,438,138.552722
426,430,149.534890
427,440,166.025228
428,427,190.025228
429,423,174.115238
430,422,144.149725
431,439,89.363227
432,416,125.550484
433,460,117.108311
434,435,120.782733
435,439,94.705924
436,445,175.310770
437,434,125.782733
438,455,122.428206
439,424,81.552977
440,432,151.260405
441,435,106.107678
442,440,191.272903
443,438,131.915039
444,442,209.521190
445,452,162.780805
446,448,147.125529
447,432,162.238357
448,441,119.107678
449,424,69.259338
450,446,163.404350
451,447,175.580021
452,443,154.718548
453,458,166.506837
454,446,193.515183
455,460,106.149386
456,408,150.203711
457,449,88.675826
458,452,160.103713
459,441,137.888175
460,420,94.747631
461,447,203.469413
462,451,214.180539
463,430,174.166387
464,431,124.191376
465,434,173.137294
466,443,157.527536
467,469,136.168304
468,450,194.291240
469,457,119.138918
470,457,121.917366
471,450,211.164166
472,458,183.810252
473,495,173.110774
474,459,154.917561
475,474,175.917561
476,464,135.853280
477,449,94.498197
478,437,199.192542
479,471,226.975554
480,474,161.242117
481,468,221.494181
482,466,174.732187
483,477,102.308446
484,485,183.148036
485,466,173.148036
486,455,130.500977
487,448,154.335508
488,480,180.888999
489,459,164.813999
490,471,242.034864
491,501,203.194616
492,486,138.986258
493,489,172.876257
494,469,143.222107
495,492,155.110774
496,464,153.260260
497,496,155.260260
498,488,202.078620
499,482,193.333262
500,491,208.194616
501,536,186.194616
502,480,194.857589
503,475,229.583193
504,475,239.612145
505,507,136.858929
506,485,189.911090
507,483,127.803544
508,486,148.611747
509,493,198.818500
510,488,222.518316
511,512,189.694510
512,508,154.694510
513,483,129.215694
514,487,177.357237
515,513,138.435239
516,503,249.707805
517,508,162.028155
518,492,159.577519
519,495,171.110774
520,514,187.652867
521,505,146.908805
522,494,172.428271
523,510,243.707936
524,496,180.918894
525,487,205.735897
526,530,196.350048
527,494,171.875205
528,489,206.539291
529,491,231.265954
530,517,179.232806
531,519,188.140160
532,493,223.482581
533,526,207.166702
534,517,178.671472
535,507,150.164224
536,541,159.945806
537,514,207.836738
538,509,243.995928
539,540,184.665526
540,518,176.665526
541,477,151.699595
542,505,163.784753
543,527,181.875205
544,520,214.053624
545,525,227.667609
546,502,239.061662
547,513,155.292504
548,534,202.441201
549,502,237.996899
550,546,246.272764
551,534,189.301618
552,515,163.515111
553,522,197.667130
554,512,187.936050
555,546,262.321068
556,536,173.547277
557,518,188.988401
558,542,180.814139
559,522,208.663613
560,530,210.377629
561,547,177.224216
562,554,196.880322
563,535,172.989648
564,556,188.811614
565,541,178.569653
566,535,175.718088
567,537,240.486393
568,560,218.862910
569,547,180.292504
570,541,177.506571
571,542,202.899967
572,527,210.163584
573,553,216.268205
574,525,248.875206
575,558,195.814139
576,551,214.757462
577,556,191.986366
578,515,181.481725
579,554,203.747438
580,551,215.378428
581,470,228.444358
582,476,248.990365
583,574,268.291694
584,577,206.199036
585,583,274.616249
586,562,216.115706
587,564,205.574669
588,557,213.175174
589,558,215.527249
590,540,213.881114
591,584,210.441677
592,524,253.168461
593,524,243.544767
594,586,220.238812
595,476,260.312109
596,576,231.874705
597,579,219.044497
598,569,199.708992
599,552,202.463795
600,577,211.012663
601,570,198.530367
602,574,276.533840
603,564,213.326916
604,572,241.276282
605,570,205.524422
606,559,248.071734
607,563,202.006884
608,582,270.203569
609,587,219.176140
610,565,221.708962
611,562,231.994422
612,590,228.198935
613,557,230.425100
614,600,226.569013
615,575,243.322033
616,559,258.663613
617,563,210.844634
618,565,227.487952
619,588,234.388378
620,567,292.148759
621,566,215.341314
622,587,230.872890
623,537,291.985416
624,580,248.993900
625,592,286.410001
626,611,244.077468
627,612,239.600690
628,607,217.040181
629,610,245.032770
630,600,232.036459
631,605,225.748171
632,610,243.731678
633,614,238.734538
634,590,242.949998
635,593,281.754713
636,630,239.247562
637,575,266.106386
638,580,254.595771
639,605,232.357238
640,586,257.733010
641,613,246.549615
642,618,241.805773
643,616,286.466490
644,613,253.619927
645,597,257.097092
646,584,251.904616
647,632,272.576088
648,611,262.061014
649,607,236.719994
650,639,250.049044
651,630,253.577119
652,579,264.162668
653,614,257.713836
654,633,261.559962
655,612,263.426765
656,616,301.301624
657,617,242.984952
658,656,302.715837
659,652,269.162668
660,634,266.295233
661,628,244.206336
662,631,252.318831
663,629,290.836700
664,639,265.598778
665,626,277.618487
666,603,262.489910
667,642,271.638641
668,676,289.956092
669,566,251.223055
670,632,284.841287
671,597,277.354016
672,626,284.002397
673,631,267.088224
674,642,277.861286
675,641,277.694438
676,618,281.893834
677,656,320.406597
678,652,281.192055
679,627,279.862334
680,634,278.078334
681,617,257.716801
682,658,321.154926
683,594,287.914509
684,628,259.619518
685,655,283.451750
686,651,276.663911
687,629,310.086594
688,678,289.254312
689,653,282.733828
690,660,287.508436
691,588,287.175174
692,657,268.694872
693,654,290.421701
694,668,315.568589
695,603,287.758092
696,694,324.170914
697,672,305.543056
698,619,296.396442
699,621,276.012559
700,601,276.054557
701,633,293.186351
702,650,293.958041
703,694,323.378839
704,672,306.849717
705,671,299.354016
706,655,297.441468
707,661,275.606973
708,650,291.485743
709,678,301.217039
710,651,292.870884
711,670,323.051234
712,647,329.162305
713,649,280.901438
714,670,326.566579
715,676,313.278544
716,673,298.104349
717,696,338.313050
718,627,312.381181
719,661,288.217698
720,684,289.047396
721,695,305.020769
