node,parent,time
1,81,354.138649
2,83,336.398786
3,77,300.525275
4,44,342.255962
5,48,298.644313
6,90,362.975431
7,53,332.914216
8,64,297.696531
9,89,320.004988
10,89,318.136290
11,55,343.451878
12,63,322.330231
13,78,349.596096
14,50,305.426282
15,57,350.148356
16,26,315.541758
17,67,338.931927
18,53,323.409480
19,64,291.288202
20,59,293.472901
21,51,313.549149
22,68,296.958960
23,46,330.433656
24,69,321.083757
25,57,342.980344
26,51,309.541758
27,72,313.081790
28,44,320.607376
29,39,306.854568
30,105,285.294864
31,85,288.875296
32,42,303.543240
33,95,307.534548
34,55,324.370095
35,50,290.661522
36,59,283.578192
37,67,328.692882
38,104,335.102593
39,112,293.816163
40,96,344.297096
41,94,313.333296
42,121,287.890764
43,90,325.829468
44,103,300.482765
45,81,318.622105
46,94,305.433656
47,76,299.349420
48,105,267.069006
49,97,324.960151
50,86,273.661522
51,92,286.716333
52,115,321.489851
53,98,295.178291
54,121,280.899676
55,93,299.611258
56,88,324.443550
57,80,318.383596
58,76,293.090746
59,99,267.453677
60,78,305.088798
61,85,266.649074
62,86,270.372774
63,95,282.934800
64,102,259.225763
65,83,289.793967
66,132,310.274101
67,107,298.213381
68,118,257.146901
69,103,281.259142
70,80,300.873394
71,102,253.026098
72,92,269.252576
73,91,300.038048
74,112,270.450183
75,96,308.913551
76,98,276.327691
77,108,248.901637
78,93,282.417230
79,119,321.979469
80,107,296.750288
81,111,288.923620
82,126,258.700780
83,137,278.089268
84,131,315.887165
85,99,246.425326
86,118,250.124317
87,113,308.891253
88,123,301.640041
89,140,263.684476
90,129,279.429037
91,129,289.221394
92,124,259.202700
93,144,269.378825
94,137,274.128704
95,116,260.844078
96,113,292.634730
97,115,290.478272
98,116,264.162166
99,138,238.179115
100,151,286.221839
101,114,318.433930
102,108,231.931075
103,124,252.974871
104,132,277.474474
105,169,228.859060
106,145,308.469537
107,111,267.750288
108,169,224.860007
109,114,299.727391
110,123,281.398501
111,152,265.514220
112,140,244.450183
113,141,272.835740
114,167,294.727391
115,160,272.093495
116,163,239.749055
117,147,274.751476
118,138,218.819365
119,167,273.875415
120,152,249.492894
121,150,224.819376
122,158,284.267760
123,160,268.398501
124,150,223.974871
125,172,279.483191
126,157,220.074364
127,153,260.979738
128,211,228.886732
129,144,233.418169
130,154,240.412266
131,141,252.879229
132,154,248.873775
133,143,235.271698
134,149,312.564658
135,170,313.852497
136,151,250.431746
137,143,233.312041
138,157,207.114665
139,155,263.421091
140,163,223.236979
141,159,237.226753
142,148,278.820222
143,179,229.188936
144,173,218.153831
145,158,261.267842
146,172,267.546845
147,155,255.516092
148,188,269.333389
149,170,302.564658
150,165,207.819376
151,187,240.944913
152,179,231.382124
153,175,245.846992
154,159,225.852046
155,175,245.616597
156,184,239.618213
157,190,188.246703
158,183,243.463349
159,173,212.813641
160,196,238.716857
161,187,228.864876
162,184,233.713727
163,176,205.209223
164,165,196.198877
165,182,192.198877
166,188,250.480531
167,183,224.834616
168,192,277.363923
169,190,180.848645
170,207,276.315848
171,194,293.561506
172,186,241.470035
173,182,190.859143
174,192,265.613623
175,196,226.200109
176,200,193.167628
177,207,281.616243
178,189,238.962586
179,176,198.824483
180,186,235.029729
181,194,277.829066
182,206,174.734628
183,209,201.403867
184,195,216.596485
185,180,255.425807
186,205,231.029729
187,198,208.249348
188,209,203.469894
189,197,222.409641
190,206,163.731402
191,197,221.091820
192,220,251.191418
193,214,284.721648
194,223,270.757998
195,227,201.332147
196,195,207.332147
197,210,208.091820
198,200,183.249348
199,214,274.728228
200,217,174.193962
201,210,195.984264
202,227,202.085560
203,220,238.826329
204,202,210.147818
205,230,212.428653
206,232,150.692997
207,241,246.232631
208,198,203.373959
209,212,165.893305
210,219,182.091820
211,212,163.886732
212,225,161.650664
213,219,193.717338
214,223,251.706500
215,235,236.988891
216,205,231.741861
217,206,160.592492
218,252,262.516071
219,225,163.303525
220,263,224.790660
221,213,201.779596
222,240,212.592575
223,241,241.076354
224,240,191.148924
225,233,145.839276
226,211,198.062747
227,256,174.499331
228,229,216.947924
229,260,213.342372
230,248,191.813125
231,230,201.813125
232,281,126.839276
233,232,135.839276
234,265,268.202745
235,242,222.953222
236,242,219.661426
237,253,189.894876
238,261,249.856754
239,255,216.227771
240,243,175.592575
241,263,218.054625
242,246,212.953222
243,267,156.487601
244,260,208.317388
245,271,226.202191
246,248,195.690545
247,261,236.091373
248,249,172.603753
249,256,163.603753
250,233,148.208593
251,253,177.365874
252,271,218.413916
253,250,169.303616
254,265,256.245363
255,246,202.015101
256,267,146.840698
257,275,194.443433
258,232,149.042879
259,293,186.352827
260,283,193.317388
261,272,224.049778
262,275,192.482637
263,283,191.805815
264,297,238.035921
265,297,239.602046
266,277,231.560264
267,281,139.224925
268,243,176.210684
269,250,161.625001
270,277,225.503172
271,288,201.443354
272,288,202.209449
273,299,235.404641
274,286,230.975030
275,287,183.263093
276,278,201.722611
277,276,206.821630
278,249,187.686942
279,272,226.724750
280,296,244.530439
281,292,91.370980
282,318,142.957108
283,301,178.999567
284,309,223.270088
285,296,246.695745
286,299,215.163642
287,301,169.661622
288,310,181.593920
289,276,220.931983
290,300,184.132829
291,258,175.875695
292,375,77.228845
293,333,160.642906
294,278,204.239887
295,326,173.486709
296,304,217.903385
297,304,215.832317
298,320,209.581840
299,306,204.163642
300,293,176.921727
301,282,158.481282
302,294,218.800107
303,292,83.228845
304,334,210.832317
305,289,234.385607
306,291,185.724553
307,292,102.527066
308,310,172.853600
309,308,203.853600
310,282,165.782532
311,295,182.706253
312,287,186.749630
313,294,229.319759
314,329,225.872630
315,329,233.223520
316,306,198.762958
317,323,224.215369
318,303,110.154669
319,323,213.183613
320,308,192.088984
321,322,185.035759
322,326,173.990398
323,291,203.334756
324,342,202.736367
325,350,188.864700
326,360,151.899676
327,319,220.463723
328,319,242.304053
329,331,213.223520
330,292,106.021205
331,334,189.202695
332,325,202.281108
333,307,126.233605
334,337,179.004656
335,339,225.242259
336,281,140.248378
337,318,152.698764
338,340,176.668894
339,325,203.864700
340,348,167.613509
341,331,210.743355
342,349,187.504821
343,328,261.513426
344,358,204.459334
345,347,187.917073
346,365,169.007033
347,370,171.885853
348,364,160.542441
349,337,168.823279
350,353,161.994643
351,340,182.378332
352,356,228.892511
353,307,144.965256
354,348,178.790729
355,342,215.397472
356,358,216.850917
357,355,229.433141
358,366,193.829188
359,356,222.236081
360,292,125.498918
361,349,175.147834
362,361,185.147834
363,359,230.838407
364,330,148.459395
365,353,155.405563
366,371,183.012534
367,355,233.201966
368,364,169.836954
369,362,205.763363
370,333,153.528293
371,353,164.764246
372,347,200.486552
373,368,179.323787
374,369,211.420217
375,391,16.401219
376,393,192.893085
377,370,160.599361
378,362,200.181131
379,361,199.355271
380,375,26.841526
381,380,36.841526
382,366,203.603794
383,381,54.952296
384,387,227.180903
385,368,181.541653
386,380,34.052629
387,382,208.075930
388,385,183.777721
389,371,182.792003
390,382,216.331716
391,-1,0.000000
392,365,179.592336
393,377,175.863699
394,369,231.935867
395,387,235.968581
396,379,214.619609
397,389,195.441113
398,385,205.248193
399,379,223.396902
400,386,62.230634
401,397,214.414779
402,386,60.679682
403,388,197.813390
404,399,243.620650
405,392,190.408990
406,404,244.620650
407,389,205.264208
408,377,183.599361
409,408,184.599361
410,408,190.599361
411,409,212.599361
412,388,205.038013
413,399,237.714723
414,402,71.860022
415,400,73.632388
416,381,64.734177
417,375,48.181717
418,441,94.164173
419,417,55.461827
420,393,197.704028
421,398,230.007029
422,392,204.592336
423,407,234.418967
424,420,207.552886
425,397,219.956415
426,405,207.408990
427,412,223.065769
428,421,239.226574
429,423,242.962971
430,424,215.168659
431,419,67.503421
432,402,81.295211
433,405,211.289603
434,437,89.982634
435,417,64.734662
436,423,245.732676
437,416,84.982634
438,422,215.772676
439,419,75.311260
440,414,100.860022
441,435,76.136416
442,398,247.117035
443,422,223.697309
444,396,261.630246
445,425,247.251103
446,416,89.814050
447,403,233.660287
448,435,89.086253
449,409,225.830417
450,432,98.499861
451,412,240.815101
452,425,243.998045
453,407,240.192706
454,427,241.176540
455,430,236.801967
456,420,223.022006
457,431,91.586610
458,443,246.522734
459,437,103.010390
460,424,232.851107
461,442,264.321686
462,421,273.870454
463,430,245.185321
464,448,106.579109
465,432,112.182101
466,443,249.309806
467,439,98.311260
468,414,126.265904
469,431,99.814410
470,441,99.481651
471,451,258.279350
472,452,268.837530
473,456,239.423226
474,446,109.913801
475,465,116.654237
476,448,110.110049
477,439,108.432250
478,468,132.974108
479,427,271.232148
480,474,116.238356
481,451,268.274161
482,466,266.514457
483,467,113.177329
484,466,261.309806
485,438,253.851542
486,438,250.901012
487,459,124.223594
488,465,127.314847
489,446,121.954367
490,479,286.496485
491,457,119.657948
492,460,261.919991
493,474,127.802345
494,470,121.685255
495,457,129.599766
496,476,128.467609
497,476,129.526537
498,450,142.703933
499,482,285.115532
500,483,123.177329
501,467,123.391132
502,475,141.734109
503,471,285.205174
504,481,290.477764
505,470,125.558461
506,485,270.614596
507,469,127.974666
508,460,276.267694
509,475,146.386374
510,468,161.251616
511,484,285.517243
512,486,271.516540
513,477,136.163099
514,489,139.071610
515,477,135.598405
516,481,301.874756
517,485,278.182592
518,495,146.687773
519,513,143.234167
520,480,145.970494
521,505,135.608337
522,489,147.449465
523,471,299.461870
524,480,149.479897
525,488,158.937624
526,484,297.545148
527,494,150.338352
528,488,159.594872
529,483,147.192031
530,506,289.296138
531,495,159.566414
532,502,171.144992
533,511,307.471742
534,506,292.614596
535,501,148.570489
536,469,149.311885
537,493,165.392237
538,400,185.376889
539,518,167.948065
540,519,163.234167
541,521,150.641633
542,505,152.484285
543,494,160.272817
544,528,168.138875
545,450,175.037434
546,498,183.311814
547,513,162.239909
548,526,309.586743
549,498,183.886454
550,478,190.280303
551,530,300.697892
552,515,160.678278
553,514,166.090122
554,456,312.649011
555,503,325.454398
556,521,161.780841
557,515,168.492174
