node,parent,time
1,45,367.168558
2,107,356.744077
3,74,352.400321
4,60,354.887634
5,77,351.013558
6,75,367.921853
7,65,352.859739
8,64,350.112891
9,33,349.234054
10,89,350.200926
11,91,354.554733
12,76,348.399579
13,104,358.074940
14,62,356.054133
15,57,362.195340
16,51,361.510128
17,67,354.241852
18,65,344.890720
19,105,343.348905
20,59,344.394204
21,26,360.048158
22,50,348.406140
23,41,346.809370
24,44,336.818911
25,57,355.027327
26,92,355.925052
27,103,357.554223
28,55,336.206163
29,39,338.918113
30,102,337.685976
31,61,340.042495
32,72,350.321578
33,98,336.234054
34,60,336.102093
35,126,341.957529
36,85,334.346542
37,45,341.703545
38,75,339.832226
39,112,325.879708
40,87,345.746625
41,81,329.089325
42,211,335.135863
43,113,331.754006
44,188,316.203383
45,80,330.933216
46,107,324.386034
47,94,320.525325
48,105,319.486314
49,97,339.620000
50,118,324.996740
51,92,333.278940
52,97,336.154245
53,94,318.983878
54,124,327.813168
55,141,314.070219
56,115,340.990478
57,80,330.430580
58,83,317.755540
59,99,318.374981
60,132,315.977481
61,85,317.570290
62,121,320.883122
63,179,313.455964
64,102,311.642123
65,83,309.535381
66,113,315.629551
67,81,313.523306
68,118,308.900017
69,129,326.341717
70,100,312.552471
71,99,305.255913
72,124,315.150567
73,104,306.107317
74,128,302.360337
75,119,311.975450
76,98,301.229673
77,128,300.923638
78,141,295.103666
79,166,330.927580
80,100,308.797272
81,136,304.089325
82,121,306.818312
83,120,297.830681
84,145,314.923837
85,157,297.346542
86,138,301.821244
87,145,309.346076
88,110,319.767978
89,112,295.749112
90,132,290.781846
91,131,295.317920
92,144,305.765307
93,188,284.919425
94,120,292.507474
95,179,291.382179
96,119,296.835025
97,127,305.138120
98,152,289.064148
99,157,289.100418
100,127,296.427955
101,142,323.109018
102,108,284.347435
103,144,298.461076
104,131,283.281893
105,108,281.276367
106,174,313.427358
107,156,283.191374
108,169,277.276367
109,122,306.594183
110,153,298.134670
111,136,281.160846
112,163,276.513728
113,158,277.550685
114,122,301.854867
115,153,287.455442
116,198,270.310100
117,184,293.669400
118,138,270.572481
119,158,273.065297
120,152,265.581650
121,150,272.613049
122,178,290.192963
123,184,287.350376
124,150,271.768543
125,175,300.614485
126,209,268.711369
127,162,270.932858
128,169,260.923638
129,209,276.692950
130,154,251.114772
131,167,257.728028
132,167,254.879200
133,137,260.529685
134,170,298.533626
135,149,299.860802
136,156,261.135862
137,161,258.529685
138,190,258.867781
139,196,282.518440
140,163,255.336893
141,197,246.062867
142,174,281.240175
143,161,255.407013
144,173,262.683989
145,189,257.722438
146,172,289.533711
147,155,275.082118
148,178,273.614513
149,170,288.547093
150,173,255.613049
151,162,252.431553
152,187,247.470879
153,204,257.773798
154,213,236.554552
155,195,265.182623
156,187,247.135862
157,206,240.592687
158,189,240.862812
159,210,255.452897
160,204,258.144592
161,202,237.914157
162,202,241.251213
163,200,237.309136
164,182,241.822518
165,211,242.276341
166,203,254.083582
167,197,228.046384
168,192,260.974854
169,190,233.265005
170,260,262.298284
171,194,278.775188
172,195,263.456902
173,219,235.389300
174,192,249.224554
175,196,245.942737
176,200,229.208830
177,223,267.472556
178,203,240.192963
179,198,225.314033
180,186,257.478101
181,194,263.042748
182,212,225.543698
183,251,237.656186
184,224,228.554118
185,205,270.260362
186,227,253.478101
187,208,217.454217
188,213,206.759333
189,221,214.920569
190,206,216.147762
191,229,226.804517
192,228,234.802349
193,214,269.884050
194,223,255.971680
195,222,229.841429
196,222,227.074775
197,221,203.307750
198,258,212.275628
199,214,259.890631
200,233,210.235164
201,226,197.474074
202,208,206.769334
203,229,219.601703
204,224,210.763161
205,227,235.822011
206,250,203.109357
207,260,233.837426
208,240,200.366210
209,219,207.051009
210,251,215.603179
211,212,205.779766
212,250,203.543698
213,226,187.523949
214,241,236.868902
215,236,330.854459
216,231,248.218386
217,232,203.398814
218,252,248.047476
219,253,198.988751
220,228,210.130163
221,257,182.118130
222,243,204.602570
223,241,226.290036
224,240,189.502869
225,233,193.309340
226,257,177.474074
227,243,204.437302
228,244,197.600199
229,244,194.047838
230,248,222.520374
231,249,212.750091
232,258,189.080993
233,269,183.309340
234,261,256.243697
235,236,323.415370
236,276,312.415370
237,275,188.567621
238,247,236.219171
239,277,307.229440
240,259,173.946520
241,263,203.268307
242,255,314.190135
243,268,183.342279
244,282,182.734130
245,252,211.755571
246,273,299.066464
247,272,221.901350
248,249,203.311002
249,267,194.311002
250,269,171.093736
251,253,183.030184
252,263,203.945321
253,281,174.967927
254,261,249.382739
255,276,293.166339
256,267,184.234969
257,303,154.387281
258,259,166.877390
259,290,157.822005
260,283,180.097311
261,271,211.055203
262,292,181.884834
263,282,177.019497
264,272,228.302943
265,264,234.302943
266,289,306.219507
267,268,176.619196
268,290,163.619196
269,281,157.677328
270,277,300.593004
271,283,188.251695
272,271,189.251695
273,299,275.721229
274,299,268.333952
275,257,165.567621
276,294,280.166339
277,294,281.911462
278,317,276.636431
279,288,213.223759
280,284,241.908230
281,307,147.381698
282,287,156.428237
283,287,165.779490
284,288,209.767913
285,308,298.508329
286,293,178.954962
287,295,146.132607
288,301,172.431603
289,317,284.196791
290,307,135.018496
291,293,164.004490
292,300,150.057173
293,300,148.871744
294,319,262.702090
295,303,125.884150
296,298,217.138870
297,298,222.133396
298,301,198.112572
299,323,244.480231
300,316,132.592923
301,295,150.070923
302,327,273.438007
303,321,108.419901
304,308,274.568586
305,313,288.269309
306,325,231.742102
307,316,124.578190
308,310,224.528602
309,310,255.470690
310,326,217.457534
311,257,195.533362
312,311,210.533362
313,327,279.325037
314,331,253.827930
315,329,262.840512
316,321,113.176436
317,319,247.481672
318,330,187.204780
319,323,236.301332
320,318,242.241132
321,417,90.615407
322,330,180.265609
323,350,226.452474
324,338,217.099289
325,350,215.586607
326,345,181.056985
327,339,235.359141
328,335,259.324471
329,342,242.840512
330,345,168.603705
331,342,222.957232
332,325,229.003015
333,303,134.839591
334,364,214.606001
335,339,238.708943
336,326,192.458739
337,348,188.988768
338,351,179.151957
339,346,217.331385
340,348,171.059836
341,362,236.002875
342,361,213.108374
343,344,275.361419
344,335,254.361419
345,333,145.279897
346,347,204.331385
347,360,183.331385
348,351,163.988768
349,364,198.997961
350,347,188.716550
351,375,155.742557
352,358,280.603354
353,346,207.493663
354,375,148.125868
355,368,242.175139
356,358,268.567987
357,367,336.329747
358,353,245.546258
359,356,273.953151
360,372,145.675044
361,385,193.691887
362,361,203.691887
363,366,280.336683
364,383,164.516082
365,353,217.933969
366,371,239.227074
367,399,326.329747
368,385,183.925676
369,362,224.307415
370,360,175.085927
371,376,220.978786
372,321,128.470394
373,381,175.175027
374,398,310.189132
375,418,127.317216
376,370,199.601228
377,370,182.156994
378,373,207.424058
379,373,217.365073
380,386,137.715967
381,380,147.715967
382,371,257.653028
383,411,150.198261
384,382,278.748051
385,383,172.220976
386,411,130.504864
387,382,262.125164
388,381,189.019719
389,392,234.374637
390,397,270.218575
391,-1,0.000000
392,376,225.155093
393,377,197.421332
394,399,305.763137
395,387,290.017815
396,398,297.888306
397,389,247.023748
398,427,281.763791
399,421,293.680091
400,380,173.071306
401,389,265.997414
402,416,169.601432
403,440,270.201909
404,428,313.330696
405,393,225.881831
406,413,313.551493
407,392,254.887230
408,377,205.156994
409,408,206.156994
410,419,126.418955
411,437,105.009766
412,403,285.334655
413,428,306.271383
414,432,260.893190
415,432,261.634747
416,386,155.999962
417,391,18.248288
418,434,95.176899
419,418,112.206285
420,409,224.758070
421,427,275.791547
422,405,245.731264
423,407,284.041990
424,408,232.616055
425,422,264.836237
426,430,238.415484
427,440,257.763791
428,421,285.011092
429,423,292.585993
430,393,233.030319
431,417,36.849363
432,450,245.081802
433,430,244.075681
434,437,80.176899
435,419,125.206285
436,407,295.111601
437,431,75.176899
438,405,256.687674
439,435,138.359231
440,446,242.998968
441,435,136.608039
442,451,284.782948
443,422,264.836237
444,442,303.031236
445,425,292.130925
446,459,211.598331
447,450,253.056508
448,494,155.746336
449,457,248.996104
450,446,227.877151
451,447,266.398172
452,443,287.639746
453,438,282.687674
454,447,260.866758
455,456,265.579616
456,457,241.579616
457,467,229.579616
458,443,287.661662
459,476,197.385660
460,456,254.921280
461,451,294.290824
462,468,218.586028
463,473,266.295569
464,469,207.434187
465,480,145.847762
466,463,299.431652
467,469,214.023267
468,475,170.419650
469,476,196.993881
470,464,215.049960
471,468,188.447406
472,458,311.368201
473,477,248.575524
474,434,119.800124
475,465,150.319898
476,448,176.770132
477,467,231.111275
478,465,172.096572
479,481,202.463475
480,474,126.124679
481,478,195.183365
482,484,314.883751
483,477,238.921524
484,485,300.741616
485,486,290.741616
486,473,272.741616
487,494,143.663183
488,493,151.617056
489,497,246.738397
490,481,216.063978
491,501,143.887109
492,491,179.900995
493,474,137.688668
494,507,119.621553
495,491,164.110857
496,497,228.813538
497,459,226.813538
498,475,177.227146
499,484,331.106069
500,507,114.237998
501,500,126.887109
502,488,167.237556
503,478,204.112193
504,503,215.112193
505,507,103.044926
506,485,307.504670
507,431,93.989541
508,495,190.110857
509,488,171.340139
510,502,195.680481
511,463,325.117334
512,486,293.357144
513,515,138.457543
514,480,149.146408
515,500,129.237998
516,510,224.123406
517,512,301.167394
518,515,149.461746
519,513,145.528610
520,493,156.127757
521,505,113.094802
522,487,168.663183
523,510,216.870101
524,514,160.326748
525,520,176.376214
526,517,333.183015
527,487,176.904723
528,520,175.825472
529,500,138.258822
530,512,318.357144
531,518,162.500151
532,525,194.403970
533,526,343.999669
534,495,218.194126
535,464,263.896564
536,541,136.291138
537,528,183.887730
538,509,216.517567
539,518,170.722038
540,519,165.528610
541,505,128.044926
542,521,131.695877
543,522,183.960242
544,528,184.369476
545,525,198.307926
546,502,211.441628
547,513,164.534352
548,517,338.903318
549,545,209.078255
550,546,218.652730
551,534,228.824272
552,529,154.660042
553,514,176.164920
554,539,194.888130
555,546,234.701034
556,521,139.267307
557,529,165.128880
558,527,199.376928
559,553,187.566675
560,534,250.950805
561,519,186.136491
