node,parent,time
1,80,350.756958
2,107,345.555501
3,39,341.979632
4,91,360.255386
5,89,341.238422
6,87,369.331975
7,65,341.753258
8,64,342.950148
9,33,338.127573
10,63,338.541750
11,96,358.594198
12,76,337.293098
13,43,360.322595
14,82,362.893227
15,57,345.044401
16,26,361.799279
17,80,338.281784
18,65,333.784239
19,77,335.585598
20,102,338.579291
21,93,359.875072
22,86,344.110121
23,81,335.585559
24,55,344.698406
25,57,337.876389
26,93,355.799279
27,189,356.068777
28,55,344.030841
29,39,327.723349
30,64,330.556189
31,85,335.721383
32,141,353.412819
33,98,325.127573
34,104,341.714086
35,126,337.160519
36,108,328.837899
37,45,350.197731
38,166,341.308980
39,95,314.684944
40,114,345.613898
41,81,317.865540
42,130,339.586211
43,119,333.751934
44,90,324.530197
45,100,339.427401
46,107,313.197459
47,94,309.418844
48,77,310.673502
49,97,321.909277
50,126,320.800209
51,141,335.396418
52,115,318.438978
53,94,307.877397
54,159,334.361292
55,90,321.894897
56,88,321.392676
57,127,313.279641
58,83,306.649058
59,157,315.235320
60,104,322.228118
61,85,313.495161
62,82,327.791073
63,95,301.420327
64,105,304.479380
65,83,298.428899
66,145,318.029886
67,162,302.144278
68,118,305.728261
69,189,321.878087
70,127,296.349410
71,108,298.045249
72,103,319.782408
73,113,310.168604
74,89,292.533683
75,145,313.452847
76,98,290.123192
77,140,291.438118
78,131,303.238421
79,114,319.306959
80,153,292.576205
81,136,292.865540
82,150,313.648938
83,120,286.724200
84,122,314.742711
85,169,293.271412
86,182,297.269968
87,166,310.095162
88,123,298.589167
89,116,284.917910
90,131,298.357692
91,113,299.815333
92,154,309.752365
93,191,309.625694
94,120,281.400993
95,116,279.329605
96,119,298.386225
97,115,287.427398
98,152,277.957667
99,169,285.056588
100,80,304.945522
101,170,367.516300
102,105,277.227845
103,154,301.754652
104,158,287.862438
105,128,274.065567
106,170,358.578675
107,136,272.002799
108,128,270.314400
109,122,294.894793
110,123,278.347627
111,156,269.926779
112,140,266.553599
113,158,281.376244
114,148,290.152200
115,160,269.042621
116,179,258.234582
117,155,271.396917
118,164,267.400726
119,178,274.616496
120,152,254.475169
121,150,279.845395
122,148,278.493573
123,160,265.347627
124,173,278.760268
125,172,298.707868
126,164,263.914359
127,153,254.756142
128,176,251.929623
129,197,277.981655
130,167,277.457313
131,203,264.123207
132,191,277.015969
133,161,249.279881
134,149,340.433508
135,149,341.747217
136,156,249.912077
137,161,247.423204
138,190,255.844462
139,195,309.716310
140,176,245.340395
141,167,270.388726
142,207,327.750403
143,179,243.587925
144,183,269.758841
145,178,258.826846
146,180,286.743187
147,155,252.452002
148,174,261.850256
149,207,330.433508
150,173,262.845395
151,204,240.933833
152,187,236.364398
153,196,239.623396
154,197,263.741496
155,175,242.552507
156,202,235.912077
157,206,237.569368
158,203,244.688371
159,183,256.201200
160,175,235.665983
161,202,226.807676
162,187,230.555173
163,200,228.885474
164,225,236.400726
165,182,237.831681
166,192,243.446832
167,229,252.277956
168,174,249.460064
169,200,227.811501
170,241,304.866479
171,214,319.467038
172,180,260.694712
173,210,242.621646
174,192,237.253509
175,196,223.136019
176,198,217.447744
177,223,308.993766
178,220,229.672086
179,198,213.223472
180,205,253.986508
181,223,304.046588
182,225,220.367432
183,210,237.201200
184,222,261.629478
185,216,268.775848
186,205,250.633085
187,208,206.347736
188,244,234.912429
189,228,234.734528
190,206,213.124444
191,228,233.599383
192,220,222.831303
193,218,284.128516
194,272,297.417323
195,222,257.851101
196,243,204.268057
197,229,228.727214
198,240,200.185068
199,245,300.715557
200,240,201.811501
201,213,225.800599
202,208,195.662853
203,263,209.975261
204,224,198.354495
205,231,232.032010
206,250,200.086039
207,241,274.863732
208,224,189.259729
209,219,204.027690
210,237,214.728995
211,300,203.375946
212,219,202.368557
213,237,215.750724
214,252,278.235982
215,216,254.221983
216,230,243.221983
217,232,191.279818
218,264,259.068588
219,253,195.965432
220,263,196.430546
221,244,209.132851
222,227,232.612242
223,272,267.811246
224,243,177.094204
225,250,186.751959
