node,parent,time
1,80,405.847688
2,83,393.697552
3,169,383.331154
4,60,394.696099
5,102,381.781229
6,87,405.331888
7,94,389.973089
8,99,378.262585
9,95,382.638020
10,89,381.357342
11,91,393.574513
12,133,382.826191
13,43,396.344245
14,54,377.155187
15,156,400.823603
16,26,377.039860
17,136,392.252864
18,83,382.260199
19,71,373.064807
20,36,370.879350
21,26,375.162965
22,35,371.025719
23,81,385.238795
24,78,376.569382
25,156,393.679695
26,69,371.039860
27,69,371.274345
28,55,375.917765
29,112,370.065145
30,71,366.443962
31,68,365.561233
32,130,367.716196
33,95,369.788588
34,60,375.910558
35,159,364.025719
36,85,360.829474
37,70,380.383652
38,75,377.405076
39,112,357.037215
40,109,382.347413
41,81,367.518776
42,92,353.126606
43,119,369.773584
44,93,356.155510
45,70,369.625372
46,94,361.369778
47,143,357.280188
48,102,350.226180
49,110,378.270707
50,126,348.419559
51,130,349.794776
52,153,374.937135
53,137,354.247116
54,159,348.137951
55,78,353.781822
56,110,378.168236
57,258,369.083406
58,137,352.371890
59,85,344.924497
60,90,355.785946
61,118,343.923133
62,183,343.113628
63,116,345.188740
64,138,341.004252
65,152,347.087927
66,96,354.033722
67,136,351.817885
68,126,333.545612
69,93,337.039860
70,151,350.837078
71,138,331.088623
72,103,333.137701
73,104,345.080079
74,128,333.504127
75,119,349.548299
76,98,335.728330
77,190,331.766616
78,90,334.808156
79,109,355.865790
80,151,347.666935
81,152,342.518776
82,124,328.997080
83,120,335.388033
84,114,351.807550
85,118,323.829474
86,165,324.898761
87,166,346.095075
88,155,355.919899
89,140,326.905529
90,141,329.709136
91,104,334.337701
92,103,323.109944
93,141,324.390749
94,120,330.064826
95,116,323.098118
96,145,334.386839
97,153,344.101388
98,133,323.562805
99,164,315.868675
100,202,335.555728
101,181,344.741320
102,182,314.870841
103,154,315.109944
104,132,322.254655
105,108,312.213132
106,223,336.978264
107,111,321.376781
108,211,308.213132
109,142,331.269042
110,160,334.304811
111,187,319.140713
112,140,307.671235
113,203,317.320348
114,142,327.109372
115,184,325.728827
116,200,302.003095
117,155,328.817906
118,164,295.829474
119,145,310.638146
120,161,303.139002
121,173,295.289188
122,166,315.682086
123,160,322.755399
124,210,293.868743
125,195,333.906907
126,165,291.533708
127,162,310.826710
128,225,292.067428
129,201,291.474058
130,154,291.657008
131,132,297.777061
132,167,293.653955
133,143,293.148992
134,181,316.863392
135,194,317.427499
136,187,299.894865
137,179,291.183656
138,182,284.915038
139,222,317.091455
140,206,286.458032
141,167,284.931910
142,174,305.269042
143,179,287.066230
144,210,283.188222
145,178,294.826758
146,227,322.822966
147,175,309.763172
148,178,299.093549
149,214,307.638539
150,173,278.391514
151,208,290.421848
152,161,285.273689
153,184,296.216108
154,197,277.096789
155,175,299.973496
156,162,287.227828
157,211,270.898445
158,203,280.724272
159,183,269.977859
160,196,293.073755
161,259,274.503360
162,204,281.145066
163,233,268.606685
164,209,264.829474
165,209,265.057304
166,192,279.446744
167,197,266.821140
168,174,285.459977
169,206,264.503548
170,223,284.284177
171,199,291.164068
172,227,297.175583
173,219,258.167766
174,192,273.253421
175,196,280.557008
176,200,260.960096
177,194,283.910523
178,220,265.671999
179,232,256.701777
180,256,290.730154
181,247,279.220331
182,212,248.901151
183,213,250.977859
184,204,266.669535
185,230,301.089058
186,249,287.978832
187,208,257.740387
188,201,248.853877
189,191,255.330188
190,225,247.386524
191,228,253.915974
192,220,258.831216
193,218,279.558039
194,247,272.205823
195,222,265.226488
196,243,261.689046
197,221,242.082506
198,259,244.358050
199,238,270.915612
200,232,241.986430
201,213,239.005019
202,240,246.989369
203,228,246.011162
204,243,248.865041
205,249,269.447382
206,269,234.486886
207,263,255.915790
208,240,240.652380
209,219,229.829474
210,251,231.836494
211,212,229.137219
212,253,226.901151
213,221,228.955144
214,279,252.820659
215,246,283.310958
216,274,275.864349
217,233,228.713023
218,238,254.498111
219,253,221.767216
220,260,232.430458
221,257,220.892886
222,268,239.987629
223,261,243.972888
224,258,229.065335
225,269,220.220368
226,262,222.007085
227,256,239.192827
228,260,223.650482
229,244,223.343707
230,274,250.879497
231,267,244.694714
232,300,215.909621
233,281,215.371359
234,265,253.068261
235,276,273.433753
236,255,264.988819
237,251,212.717123
238,264,238.342617
239,246,257.200174
240,290,214.232690
241,263,228.751118
242,276,263.605336
243,268,219.250855
244,257,212.029999
245,261,229.371695
246,273,248.597848
247,279,228.525164
248,306,232.365621
249,267,226.261736
250,281,203.153614
251,262,199.263499
252,320,227.042893
253,295,197.746392
254,264,241.038945
255,273,243.057107
256,293,211.534194
257,275,193.162037
258,290,203.065335
259,300,198.260327
260,282,201.559760
261,284,217.666995
262,275,191.201241
263,283,202.502308
264,296,219.107233
265,297,224.467561
266,289,259.967582
267,293,208.569930
268,307,199.527772
269,292,190.203706
270,294,254.390205
271,298,212.553785
272,271,213.553785
273,299,225.252613
274,325,217.864349
275,318,181.981697
276,319,234.536452
277,319,237.292795
278,299,223.422497
279,284,207.909636
280,342,228.509414
281,322,182.129818
282,312,182.454787
283,301,189.696060
284,298,203.666995
285,297,224.863925
286,306,203.394080
287,282,192.750417
288,283,197.506310
289,317,237.944866
290,321,175.606274
291,316,189.737403
292,322,170.556824
293,307,177.328931
294,327,218.334693
295,318,165.965895
296,309,195.697833
297,296,200.697833
298,309,187.855607
299,325,194.011615
300,321,168.528190
301,312,169.177775
302,317,227.229747
303,292,176.556824
304,342,202.484296
305,335,242.344587
306,332,179.963331
307,333,165.927177
308,338,188.587497
309,334,180.045357
310,301,184.989164
311,295,175.185439
312,326,156.647811
313,335,233.402085
314,329,205.180486
315,329,212.531375
316,347,167.805691
317,327,201.229747
318,326,149.841379
319,339,192.015869
320,368,178.380793
321,333,151.440182
322,330,149.556824
323,339,184.216405
324,368,179.625124
325,332,171.539410
326,336,142.225606
327,346,188.501825
328,353,213.228123
329,331,192.531375
330,336,137.894920
331,362,168.510551
332,347,158.123002
333,345,142.220638
334,361,159.649279
335,353,192.695820
336,348,130.823852
337,340,116.608948
338,364,162.016836
339,346,170.614934
340,381,97.503975
341,331,190.051210
342,334,168.868823
343,358,219.954237
344,366,200.565007
345,370,131.780331
346,350,157.614934
347,377,141.844181
348,340,104.575042
349,337,132.733463
350,377,141.490419
351,364,158.592841
352,359,225.062612
353,350,158.519805
354,330,157.894920
355,369,194.288371
356,358,213.143098
357,369,205.932500
358,366,190.121369
359,382,217.446839
360,354,169.599620
361,349,139.058019
362,349,146.149871
363,382,219.783340
364,337,142.781452
365,393,161.251040
366,392,179.304716
367,374,202.475849
368,373,138.820712
369,379,175.849282
370,380,113.395555
371,376,169.959500
372,411,168.266757
373,348,129.333879
374,379,177.960548
375,345,160.780331
376,393,148.581941
377,370,120.466623
378,361,156.550874
379,362,163.642727
380,381,75.739214
381,419,65.739214
382,397,193.363650
383,400,145.880178
384,387,211.918078
385,373,144.598217
386,400,158.761125
387,397,192.813105
388,385,146.834285
389,392,162.275451
390,387,201.415430
391,-1,0.000000
392,420,153.055906
393,409,131.552555
394,378,196.400592
395,390,221.515182
396,378,178.754478
397,389,174.924561
398,385,168.304756
399,412,179.263618
400,414,130.583119
401,407,195.927996
402,383,162.880178
403,415,133.863964
404,399,199.487366
405,409,154.112817
406,404,200.487366
407,389,184.747656
408,411,168.474397
409,410,118.098931
410,431,112.098931
411,417,139.474397
412,415,147.862981
413,399,193.581439
414,380,120.683624
415,414,122.683624
416,434,144.666187
417,410,131.412139
418,434,139.147903
419,391,20.396078
420,431,118.850643
421,412,173.358079
422,430,164.565350
423,425,203.581839
424,420,128.699501
425,438,176.563327
426,424,140.741096
427,403,162.183569
428,421,182.577623
429,425,211.620423
430,426,146.126261
431,464,93.850643
432,416,164.666187
433,430,157.171622
434,437,124.147903
435,441,149.654630
436,452,213.320413
437,459,119.147903
438,426,160.438811
439,417,157.660948
440,403,161.066905
441,437,138.252876
442,427,190.343824
443,438,169.925644
444,421,206.114757
445,452,200.791411
446,416,169.746060
447,440,172.247245
448,441,151.252876
449,460,153.098596
450,440,178.066905
451,427,180.211325
452,443,192.729153
453,443,186.478590
454,447,180.057495
455,460,155.280806
456,424,150.286534
457,456,162.286534
458,453,192.881714
459,470,101.120146
460,477,143.879051
461,442,207.548475
462,442,217.251073
463,473,154.650235
464,419,59.022494
465,475,141.327419
466,463,187.786318
467,470,86.663251
468,447,190.358015
469,494,166.212708
470,464,66.638267
471,454,199.906928
472,466,212.866190
473,477,136.930189
474,465,160.743907
475,459,136.855283
476,448,172.276672
477,491,119.465940
478,498,188.973943
479,451,210.625138
480,474,167.068462
