node,parent,time
1,57,360.760090
2,46,352.347230
3,198,347.350579
4,34,377.444479
5,140,346.554089
6,87,391.926177
7,187,349.602186
8,169,346.940409
9,63,344.721747
10,95,344.156170
11,60,377.364549
12,76,344.718235
13,104,381.451399
14,62,350.738692
15,115,354.859096
16,26,356.116658
17,70,348.913765
18,65,342.091264
19,105,340.212486
20,157,341.251355
21,26,354.239763
22,126,343.489786
23,67,342.514394
24,93,358.223819
25,115,348.021658
26,129,350.116658
27,103,351.851229
28,55,357.716104
29,39,333.209363
30,102,334.549557
31,118,336.887944
32,42,344.731451
33,116,331.832817
34,60,358.656185
35,62,336.662704
36,190,331.206143
37,184,336.165534
38,226,363.780468
39,116,320.170958
40,109,367.836603
41,136,324.841487
42,124,329.078975
43,113,355.375946
44,93,337.662678
45,100,325.428039
46,187,319.958960
47,83,317.336771
48,163,315.767365
49,110,331.222509
50,126,320.325652
51,103,327.929093
52,97,328.293248
53,83,315.345800
54,124,322.497727
55,130,335.580161
56,110,331.120038
57,196,323.760090
58,120,314.037270
59,85,315.758276
60,141,338.531573
61,85,314.887001
62,121,315.567681
63,95,307.238418
64,102,308.505704
65,120,306.735924
66,113,339.251491
67,162,308.780138
68,118,305.344170
69,129,318.445070
70,184,306.937581
71,190,300.361041
72,144,309.570080
73,104,329.483776
74,176,297.509161
75,145,336.273277
76,161,297.548329
77,163,296.648141
78,130,316.851482
79,109,341.354979
80,100,303.315477
81,136,299.883243
82,121,301.502870
83,152,295.246049
84,114,337.296739
85,138,294.663253
86,165,296.804854
87,174,332.689364
88,147,308.751228
89,198,290.357138
90,141,312.647636
91,131,318.703083
92,144,300.449866
93,154,305.897917
94,152,289.798359
95,179,285.147696
96,197,320.392265
97,196,297.277123
98,161,285.628552
99,138,286.523110
100,256,290.946160
101,170,330.892680
102,108,281.211016
103,159,292.758082
104,167,306.658351
105,108,278.139948
106,170,321.955056
107,151,278.938609
108,217,274.139948
109,142,316.758231
110,175,287.256614
111,151,276.812534
112,176,271.567510
113,197,301.172626
114,142,312.598561
115,175,278.898579
116,179,264.090659
117,231,280.983604
118,225,267.016634
119,178,297.436926
120,208,262.998069
121,150,267.297607
122,168,301.220427
123,160,275.525999
124,150,266.453102
125,172,282.828823
126,165,263.439802
127,291,265.579518
128,200,256.699602
129,159,268.796304
130,154,272.074255
131,167,281.113190
132,201,278.245230
133,143,255.438939
134,181,303.437014
135,181,304.069272
136,204,256.929780
137,143,253.479282
138,225,255.458661
139,231,268.140101
140,200,250.554089
141,183,267.870410
142,241,290.758231
143,259,249.356177
144,173,257.368547
145,178,281.647276
146,186,270.821723
147,248,261.932429
148,174,284.670686
149,207,293.729418
150,173,250.297607
151,204,247.537972
152,208,244.887336
153,227,250.622254
154,183,257.514036
155,160,252.915423
156,162,243.273795
157,233,238.154314
158,226,265.705500
159,210,246.660360
160,195,245.844355
161,240,234.540393
162,243,237.191033
163,232,232.616899
164,209,236.735567
165,209,236.963397
166,192,266.267262
167,213,251.431546
168,241,270.544704
169,217,230.321371
170,207,268.242860
171,199,278.706742
172,205,244.815667
173,219,230.073859
174,192,260.073939
175,195,233.544418
176,259,223.401132
177,194,270.625709
178,220,252.492516
179,240,219.079549
180,205,238.117068
181,214,265.793954
182,269,220.646817
183,210,229.282847
184,256,221.322162
185,273,244.200796
186,274,234.586381
187,224,215.613381
188,201,228.924839
189,257,240.077890
190,233,213.660407
191,275,238.687332
192,220,245.651733
193,238,267.045573
194,214,258.921009
195,249,217.051995
196,227,215.344224
197,213,227.742387
198,258,206.261954
199,247,258.458285
200,232,205.542980
201,237,219.075981
202,224,204.520698
203,263,232.795691
204,243,204.958634
205,274,216.162570
206,290,200.674369
207,288,238.159642
208,268,198.616395
209,219,201.735567
210,251,206.810642
211,212,201.043313
212,253,198.807245
213,237,210.713000
214,247,239.223293
215,236,225.806594
216,246,218.708361
