node,parent,time
1,-1,0.000000
2,50,343.629038
3,51,353.573431
4,42,359.245846
5,51,367.495123
6,43,372.154404
7,43,374.615137
8,32,375.550785
9,32,371.677206
10,11,362.210009
11,37,352.240832
12,33,352.760340
13,37,345.890733
14,33,341.942861
15,25,334.008689
16,26,324.113805
17,26,315.239757
18,27,305.295365
19,20,295.844212
20,29,285.875035
21,27,277.469652
22,29,267.502315
23,24,258.049321
24,30,248.080145
25,31,238.357893
26,28,228.463010
27,28,218.518617
28,34,208.549440
29,30,199.098287
30,35,189.129109
31,34,179.406859
32,31,189.376036
33,36,179.555260
34,38,149.598405
35,38,139.777630
36,35,149.746807
37,36,159.715983
38,39,109.969177
39,1,100.000000
40,39,109.969177
41,40,119.938354
42,44,169.660377
43,42,179.629555
44,41,149.746807
45,40,159.320657
46,45,169.289834
47,45,179.234226
48,47,189.203403
49,41,197.625314
50,49,207.594490
51,49,217.538883
52,44,227.433767
53,52,237.402943
54,46,246.976793
55,46,256.066581
56,55,266.035759
57,55,275.980151
58,47,283.521266
59,58,293.490443
60,50,303.245286
61,48,309.964285
62,48,317.760926
63,62,327.730103
64,62,337.674494
